job_category,count_earlier,avg_salary_earlier,count_later,avg_salary_later,count_change,avg_salary_change,avg_salary_pct_change
Cleaning & Facilities,1,1350.0,4.0,519.0,3.0,-831.0,-61.55555555555555
Construction,1,2240.0,4.0,2715.0,3.0,475.0,21.205357142857142
Data & Analytics,8,4508.75,8.0,2100.0,0.0,-2408.75,-53.42389797615748
Design & UI/UX,19,2746.6315789473683,18.0,2800.777777777778,-1.0,54.1461988304095,1.9713673739657773
DevOps & Systems,18,1537.0833333333333,10.0,3629.55,-8.0,2092.466666666667,136.1322851721334
Education,12,2960.0,4.0,2300.0,-8.0,-660.0,-22.2972972972973
Engineering,9,1961.111111111111,14.0,1748.392857142857,5.0,-212.71825396825398,-10.846823148522866
Finance & Accounting,13,1796.1538461538462,9.0,2016.111111111111,-4.0,219.9572649572649,12.246014751368067
Food Service,6,1048.3333333333333,17.0,1160.8470588235296,11.0,112.5137254901963,10.732628822594242
HR & Administration,17,2011.6470588235295,11.0,1222.0,-6.0,-789.6470588235295,-39.2537575296801
Healthcare & Medical,9,2854.6666666666665,0.0,0.0,-9.0,-2854.6666666666665,-100.0
IT Management,20,3758.5,21.0,3082.6190476190477,1.0,-675.8809523809523,-17.982731206091586
Legal,8,3107.0,0.0,0.0,-8.0,-3107.0,-100.0
Logistics & Transport,22,2410.0,47.0,1423.5936170212765,25.0,-986.4063829787235,-40.9297254348018
Maintenance,1,1280.0,1.0,2450.0,0.0,1170.0,91.40625
Management,19,2181.842105263158,28.0,3317.1964285714284,9.0,1135.3543233082705,52.03650257594292
Manufacturing & Production,48,1837.34375,56.0,1667.75,8.0,-169.59375,-9.230376732715367
Marketing & Communications,13,1508.8846153846155,14.0,1672.2142857142858,1.0,163.3296703296703,10.824530163828165
Mobile Development,17,1757.6823529411763,3.0,1697.8666666666668,-14.0,-59.81568627450952,-3.403099893130198
Other,88,1747.159090909091,80.0,1899.6625,-8.0,152.50340909090892,8.728650406504054
QA & Testing,6,1695.0,6.0,2733.3333333333335,0.0,1038.3333333333335,61.258603736479856
Retail,22,966.8181818181819,6.0,1521.25,-16.0,554.4318181818181,57.34602726845321
Sales & Customer Service,118,1933.6440677966102,133.0,1389.718045112782,15.0,-543.9260226838283,-28.12958350207816
Security,17,1547.0588235294117,4.0,2750.0,-13.0,1202.9411764705883,77.75665399239544
Software Development,1,2750.0,1.0,2000.0,0.0,-750.0,-27.27272727272727
