Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority,is_it_job
Elektrikas,UAB „Pack Klaipėda“,Klaipėda,From 1600,1600.0,,1600.0,0.0,Other,Other,False
Gamybos darbuotojai,UAB „Electronic House“,Vilnius,1200-1600,1200.0,1600.0,1400.0,400.0,Manufacturing & Production,Other,True
Transporto logistikos vadybininkas (-ė) darbas su autovežiais,UAB „Beljana“,Kaunas,1800-2700,1800.0,2700.0,2250.0,900.0,Sales & Customer Service,Other,True
KOMPIUTERIŲ TECHNIKAS (-Ė) - KLIENTŲ APTARNAVIMO SPECIALISTAS (-Ė),UAB „IT DARBAI“,Vilnius,800-1100,800.0,1100.0,950.0,300.0,Sales & Customer Service,Mid,True
PARDAVĖJAS (-A) – KONSULTANTAS (-Ė) Vieta: Vilnius ( Gariūnų verslo centras ),UAB „Teronis“,Vilnius,1800-2500,1800.0,2500.0,2150.0,700.0,Sales & Customer Service,Other,False
"Gamybos darbuotojas (be naktinio darbo, laisvi savaitgaliai)",ARIMEX UAB,Vilnius,1520-1900,1520.0,1900.0,1710.0,380.0,Manufacturing & Production,Other,True
Kelių statybos darbų vadovas,UAB „Road Construction“,Vilnius,2500-2800,2500.0,2800.0,2650.0,300.0,Management,Other,False
Švaros grupės vadovas (-ė) Vilniuje,"Daily Spaces, UAB",Vilnius,1500-2500,1500.0,2500.0,2000.0,1000.0,Management,Other,False
Pardavėja (-as) - konsultantė (-as) GUESS parduotuvėje KLAIPĖDOS AKROPOLYJE,UAB „Poldma“,Klaipėda,1100-1500,1100.0,1500.0,1300.0,400.0,Sales & Customer Service,Other,True
STAKLININKO PADĖJĖJAS (-A) (ŠILAINIUOSE ARBA GARLIAVOJE),UAB „Trukmė“,Kaunas,1000-1100,1000.0,1100.0,1050.0,100.0,Other,Other,True
"KONSULTANTAS (-Ė) - PARDAVĖJAS (-A) EKSPERTAS (-Ė), DAŽŲ IR PLYTELIŲ SK., OZO G. 25, VILNIUS",UAB „Ermitažas“,Vilnius,1340-1580,1340.0,1580.0,1460.0,240.0,Sales & Customer Service,Other,False
LAIDŲ KIRPIMO OPERATORIUS (-Ė),UAB „Electronic House“,Vilnius,1200-1800,1200.0,1800.0,1500.0,600.0,Manufacturing & Production,Other,True
Senior IT Support Specialist,AB „Volfas Engelman“,Kaunas,3000,3000.0,,3000.0,0.0,Other,Senior,True
Autošaltkavis,UAB „Schmitz Cargobull Baltic“,Panevėžys,1200-1500,1200.0,1500.0,1350.0,300.0,Other,Other,False
KRAUTUVO VAIRUOTOJAS (-A) ( KROVINIŲ IŠDAVIMAS),UAB SKUBA,Vilnius,1050-1170,1050.0,1170.0,1110.0,120.0,Logistics & Transport,Other,True
Sandėlininkas (-ė),UAB „PKC Group Lithuania“,Panevėžys,1283-1508,1283.0,1508.0,1395.5,225.0,Logistics & Transport,Other,False
PARDAVĖJA (-AS) – KONSULTANTĖ (-AS) (Japonų kosmetika ir maisto papildai),"Kristalė, UAB",Vilnius,1200,1200.0,,1200.0,0.0,Sales & Customer Service,Other,True
Pardavėja (-as) - konsultantė (-as) „GUESS“ parduotuvėje PC Vilnius Outlet Pilaitė,UAB „Poldma“,Vilnius,1100-1500,1100.0,1500.0,1300.0,400.0,Sales & Customer Service,Other,True
PIRKIMŲ INŽINIERIUS (-Ė),UAB „Hanner“,Vilnius,From 2500,2500.0,,2500.0,0.0,Manufacturing & Production,Other,False
Elektromechanikas (-ė),UAB „Press Glass“,Kaunas,2200-2700,2200.0,2700.0,2450.0,500.0,Engineering,Other,False
Transporto vadybininkas (-ė),"Carrox, UAB",Panevėžys,From 1000,1000.0,,1000.0,0.0,Sales & Customer Service,Other,False
"Telemarketingo specialistas (-ė) , VILNIUS - Tapk pardavimų guru!",UAB „Dormeo Home“,Vilnius,1100-5000,1100.0,5000.0,3050.0,3900.0,Sales & Customer Service,Mid,False
Aktyvių pardavimų vadybininkas (-ė) (Telematikos sprendimai),UAB „Besko LT“,Kaunas,1400-1800,1400.0,1800.0,1600.0,400.0,Sales & Customer Service,Other,True
Pardavimų vadybininkas Tele2 salone Kaune,UAB „TELE2“,Kaunas,1200-4900,1200.0,4900.0,3050.0,3700.0,Sales & Customer Service,Other,False
Buhalteris (-ė),UAB „Apskaita visiems“,Klaipėda,From 1500,1500.0,,1500.0,0.0,Finance & Accounting,Other,False
Šlifuotojas (2 pamainos) (APMOKOME),UAB „Novameta“,Kaunas,1150-1440,1150.0,1440.0,1295.0,290.0,Other,Other,True
Buhalterė (-is) (terminuota darbo sutartis),AB „Eurovia Lietuva“,Vilnius,2000-2400,2000.0,2400.0,2200.0,400.0,Finance & Accounting,Other,False
Techninės priežiūros darbuotojas (-a),UAB „Press Glass“,Kaunas,2200-2700,2200.0,2700.0,2450.0,500.0,Maintenance,Other,True
KLIENTŲ APTARNAVIMO IR PARDAVIMŲ SPECIALISTAS (-Ė),UAB „Elektrum Lietuva“,Panevėžys,1103-1569,1103.0,1569.0,1336.0,466.0,Sales & Customer Service,Mid,False
PARDAVĖJA (-AS) DEIMANTŲ PARDUOTUVĖJE VILNIAUS ORO UOSTE,UAB „EX FACTORY JEWELRY“,Vilnius,1100-2000,1100.0,2000.0,1550.0,900.0,Retail,Other,False
Vairuotojas (-a) - Sandėlininkas (-ė),UAB „LANEDA“,Vilnius,970-1050,970.0,1050.0,1010.0,80.0,Logistics & Transport,Other,True
Statybų įmonės direktorius (-ė),„Hirelabas“ įmonių grupė,Kaunas,3500-4000,3500.0,4000.0,3750.0,500.0,Management,Other,False
Telemarketingo specialistė (-as),UAB „Stiliaus kodas“,Klaipėda,800-3000,800.0,3000.0,1900.0,2200.0,Marketing & Communications,Mid,False
Žaliavų sandėlininkas (-ė) (LEZ),UAB FREDA II,Kaunas,2300-2500,2300.0,2500.0,2400.0,200.0,Logistics & Transport,Other,False
"Nesudėtingas darbas elektronikos gamyboje, patirtis nebūtina - APMOKOME! Darbų pradžia 04.28 d.",UAB „Selteka“,Kaunas,864-974,864.0,974.0,919.0,110.0,Manufacturing & Production,Other,False
Mechanizatorius,UAB „Projektana“,Kaunas,1400-2600,1400.0,2600.0,2000.0,1200.0,Other,Other,False
Betonuotojas,UAB „Projektana“,Kaunas,1300-2300,1300.0,2300.0,1800.0,1000.0,Other,Other,False
STATYBOS DARBŲ VADOVAS (-Ė),UAB „Projektana“,Kaunas,1500-3000,1500.0,3000.0,2250.0,1500.0,Management,Other,False
Saulės elektrinių montuotojų pagalbininkų,MB Esolis,Panevėžys,1000-2000,1000.0,2000.0,1500.0,1000.0,Other,Other,False
