Title;Company;Location;Salary
Klientų aptarnavimo vadybininkė (-as);UAB „Kauno interneto sistemos“;Kaunas;1200-2300
KOKYBĖS KONTROLIERIUS (-Ė);BIOVELA GROUP;Utena;1280-1760
Ūkvedys (-ė) „Impuls“ sporto klubams;UAB „Impuls LTU“;Vilnius;From 8
Techninės priežiūros inžinierius (-ė);UAB Alumingo;Kaunas;2300-2700
Tvarių pastatų vertintojas | Tvarumo konsultantas;UAB „SEES Group“;Vilnius;1200-2500
Linijos darbininkas (-ė);UAB „Schmitz Cargobull Baltic“;Panevėžys;From 1000
Draudimo specialistas (-ė) Klaipėdoje;AAS „BTA Baltic Insurance Company“ filialas Lietuvoje;Klaipėda;1200-1600
Svarbių klientų vadybininkė (-as) (Žaislų kategorija) didmeninėje prekyboje;Kotryna Group, UAB;Vilnius;From 1700
Pardavimų vadybininkas;Nuotykių kateris, UAB;Vilnius;2600-4250
JAUNESNYSIS INŽINIERIUS - PROJEKTUOTOJAS (-Ė);UAB „ERGOVENT“;Kaunas;From 1300
Elektrokrautuvo vairuotojas;UAB „Press Glass“;Kaunas;2030-2250
Gamybos darbuotojas (be naktinio darbo, laisvi savaitgaliai);ARIMEX UAB;Vilnius;1520-1900
Pardavėja (-as) – konsultantė (-as) VILNIUJE;UAB „Araneta“;Vilnius;2000-2500
Asmeninis slaugytojas (-a) pas klientą namuose;ATENA-SMART CARE, s.r.o.;Netherlands;2000-3000
Virėjas (-a);VšĮ „VILNVARSA“;Vilnius;1100-1300
Šlifuotojas (2 pamainos) (APMOKOME);UAB „Novameta“;Kaunas;1200-1440
ADMINISTRATORĖ (-IUS) / Vadovo asistentas (0.5 etato);UAB „Eurospektras“;Vilnius;600
PARDUOTUVĖS ADMINISTRATORIUS (-Ė) INFOCENTRE VILNIUJE (Pilaitėje);UAB „MAKVEŽA“;Vilnius;1426-1501
Prekių surinkėja (-as) sandėlyje;UAB „BGC service“;Vilnius;900-1200
Vairuotojas (-a) B kat.;UAB „BGC service“;Vilnius;1100-1400
Gamybos operatorius (-ė);UAB „Press Glass“;Kaunas;1800-2100
Pakuotojas (-a);UAB „Press Glass“;Kaunas;1800-2100
Assistant in Risk Department in Vilnius;ATRADIUS;Vilnius;1900-2300
Tapk „Telia“ gedimų šalinimo specialistu (-e) telefonu Kaune;Telia;Kaunas;1400-2000
Fasuotoja (-as) - pakuotoja (-as);UAB „Ritamum pharma“;Vilnius;900-1000
KURJERIS B KATEGORIJA VAIRUOTOJAS - KROVĖJAS;UAB „Evinara“;Vilnius;1100-1400
Techninės priežiūros ir aptarnavimo skyriaus vadovas (-ė);UAB „Marx Vilnius“;Vilnius;1700-2100
Klientų aptarnavimo konsultantas telefonu Kaune (0,75-1 et.);UAB „TELE2“;Kaunas;1100-2200
Linijos operatoriai (-ės);UAB „Lietpak“;Vilnius;1987-2562
SERVISO VADYBININKAS (VOKIETIJOJE);UAB „MANVALDA“;Germany;From 1700
