Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
Klientų aptarnavimo vadybininkė (-as),UAB „Kauno interneto sistemos“,Kaunas,1200-2300,1200.0,2300.0,1750.0,1100.0,Sales & Customer Service,Other
KOKYBĖS KONTROLIERIUS (-Ė),BIOVELA GROUP,Utena,1280-1760,1280.0,1760.0,1520.0,480.0,QA & Testing,Other
Ūkvedys (-ė) „Impuls“ sporto klubams,UAB „Impuls LTU“,Vilnius,From 8,1280.0,204800.0,1280.0,0.0,Maintenance,Other
Techninės priežiūros inžinierius (-ė),UAB Alumingo,Kaunas,2300-2700,2300.0,2700.0,2500.0,400.0,Manufacturing & Production,Other
Tvarių pastatų vertintojas | Tvarumo konsultantas,UAB „SEES Group“,Vilnius,1200-2500,1200.0,2500.0,1850.0,1300.0,Sales & Customer Service,Other
Linijos darbininkas (-ė),UAB „Schmitz Cargobull Baltic“,Panevėžys,From 1000,1000.0,,1000.0,0.0,Other,Other
Draudimo specialistas (-ė) Klaipėdoje,AAS „BTA Baltic Insurance Company“ filialas Lietuvoje,Klaipėda,1200-1600,1200.0,1600.0,1400.0,400.0,Other,Mid
Svarbių klientų vadybininkė (-as) (Žaislų kategorija) didmeninėje prekyboje,"Kotryna Group, UAB",Vilnius,From 1700,1700.0,,1700.0,0.0,Sales & Customer Service,Other
Pardavimų vadybininkas,"Nuotykių kateris, UAB",Vilnius,2600-4250,2600.0,4250.0,3425.0,1650.0,Sales & Customer Service,Other
JAUNESNYSIS INŽINIERIUS - PROJEKTUOTOJAS (-Ė),UAB „ERGOVENT“,Kaunas,From 1300,1300.0,,1300.0,0.0,Manufacturing & Production,Junior
Elektrokrautuvo vairuotojas,UAB „Press Glass“,Kaunas,2030-2250,2030.0,2250.0,2140.0,220.0,Logistics & Transport,Other
"Gamybos darbuotojas (be naktinio darbo, laisvi savaitgaliai)",ARIMEX UAB,Vilnius,1520-1900,1520.0,1900.0,1710.0,380.0,Manufacturing & Production,Other
Pardavėja (-as) – konsultantė (-as) VILNIUJE,UAB „Araneta“,Vilnius,2000-2500,2000.0,2500.0,2250.0,500.0,Sales & Customer Service,Other
Asmeninis slaugytojas (-a) pas klientą namuose,"ATENA-SMART CARE, s.r.o.",Netherlands,2000-3000,2000.0,3000.0,2500.0,1000.0,Healthcare & Medical,Other
Virėjas (-a),VšĮ „VILNVARSA“,Vilnius,1100-1300,1100.0,1300.0,1200.0,200.0,Food Service,Other
Šlifuotojas (2 pamainos) (APMOKOME),UAB „Novameta“,Kaunas,1200-1440,1200.0,1440.0,1320.0,240.0,Other,Other
ADMINISTRATORĖ (-IUS) / Vadovo asistentas (0.5 etato),UAB „Eurospektras“,Vilnius,600,600.0,,600.0,0.0,DevOps & Systems,Other
PARDUOTUVĖS ADMINISTRATORIUS (-Ė) INFOCENTRE VILNIUJE (Pilaitėje),UAB „MAKVEŽA“,Vilnius,1426-1501,1426.0,1501.0,1463.5,75.0,DevOps & Systems,Other
Prekių surinkėja (-as) sandėlyje,UAB „BGC service“,Vilnius,900-1200,900.0,1200.0,1050.0,300.0,Marketing & Communications,Other
Vairuotojas (-a) B kat.,UAB „BGC service“,Vilnius,1100-1400,1100.0,1400.0,1250.0,300.0,Logistics & Transport,Other
Gamybos operatorius (-ė),UAB „Press Glass“,Kaunas,1800-2100,1800.0,2100.0,1950.0,300.0,Manufacturing & Production,Other
Pakuotojas (-a),UAB „Press Glass“,Kaunas,1800-2100,1800.0,2100.0,1950.0,300.0,Other,Other
Assistant in Risk Department in Vilnius,ATRADIUS,Vilnius,1900-2300,1900.0,2300.0,2100.0,400.0,Other,Other
Tapk „Telia“ gedimų šalinimo specialistu (-e) telefonu Kaune,Telia,Kaunas,1400-2000,1400.0,2000.0,1700.0,600.0,Other,Mid
Fasuotoja (-as) - pakuotoja (-as),UAB „Ritamum pharma“,Vilnius,900-1000,900.0,1000.0,950.0,100.0,Other,Other
KURJERIS B KATEGORIJA VAIRUOTOJAS - KROVĖJAS,UAB „Evinara“,Vilnius,1100-1400,1100.0,1400.0,1250.0,300.0,Logistics & Transport,Other
Techninės priežiūros ir aptarnavimo skyriaus vadovas (-ė),UAB „Marx Vilnius“,Vilnius,1700-2100,1700.0,2100.0,1900.0,400.0,Management,Other
"Klientų aptarnavimo konsultantas telefonu Kaune (0,75-1 et.)",UAB „TELE2“,Kaunas,1100-2200,1100.0,2200.0,1650.0,1100.0,Sales & Customer Service,Other
Linijos operatoriai (-ės),UAB „Lietpak“,Vilnius,1987-2562,1987.0,2562.0,2274.5,575.0,Manufacturing & Production,Other
SERVISO VADYBININKAS (VOKIETIJOJE),UAB „MANVALDA“,Germany,From 1700,1700.0,,1700.0,0.0,Sales & Customer Service,Other
Pardavimo vadybininkas (-ė),UAB „Biomedikos centras“,Kaunas,1652-2479,1652.0,2479.0,2065.5,827.0,Sales & Customer Service,Other
Pardavėjas (-a) Vilniuje (Dūkštų g.) (galimybė dirbti nepilnu etatu),UAB „Lidl Lietuva“,Vilnius,1225-1990,1225.0,1990.0,1607.5,765.0,Retail,Other
AUTOŠALTKALVIS (-Ė) KAUNE,ADAMPOLIS GROUP,Kaunas,1200-2000,1200.0,2000.0,1600.0,800.0,Other,Other
INŽINIERIUS - TECHNOLOGAS,UAB „Electronic House“,Vilnius,2000-3000,2000.0,3000.0,2500.0,1000.0,Manufacturing & Production,Other
Aptarnavimo technikas (mechanikas),UAB „Lemba“,Germany,3500-6000,3500.0,6000.0,4750.0,2500.0,Engineering,Other
