Title;Company;Location;Salary;Seniority
IT specialist;Forum Cinemas Lithuania OU Lietuvos filialas;Vilnius / Remote;€ 2400;Unspecified
Telecom Engineer Ukraine;Belam - Riga SIA;Vilnius;€ 3000;Unspecified
Mid to Senior UX Designer | SEB, Vilnius;SEB;Vilnius;€ 3000 – 5450;Senior
Senior Java developer;Emplonet, UAB;Vilnius;€ 3800 – 5200;Senior
IT system architect (Java);Emplonet, UAB;Vilnius;€ 5000 – 5700;Unspecified
Dynamics 365 Business Central programuotojas (-a);Digmatix;Vilnius / Remote;€ 2200 – 5500;Unspecified
SAP ABAP developer;Accenture;Vilnius / Remote;€ 3175 – 5400;Unspecified
SAP Integration Architect;Accenture;Vilnius / Remote;€ 3175 – 5400;Unspecified
.NET Developer for Idella team;Visma Tech, UAB;Vilnius / Remote;€ 2800 – 5500;Unspecified
Informacinių sistemų administratorius (-ė);Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos;Kaunas;€ 1600 – 2400;Unspecified
Informacinių sistemų analitikas (-ė);Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos;Kaunas;€ 1900 – 3500;Unspecified
Test Automation Engineer (C++);Quadigi, UAB;Vilnius;€ 2500 – 5000;Unspecified
Test Automation Engineer (Python);Quadigi, UAB;Vilnius;€ 2300 – 5000;Unspecified
Ruby on Rails Developer;1stopVAT, UAB;Vilnius / Remote;€ 5000 – 7000;Unspecified
JAVA programuotojas (-a);Lietuvos paštas, AB;Vilnius / Remote;€ 4500 – 4950;Unspecified
Manual Quality Assurance Engineer;People Link, UAB;Kaunas;€ 2000 – 4000;Unspecified
Automated Quality Assurance Engineer;People Link, UAB;Kaunas;€ 2500 – 5000;Unspecified
Senior Salesforce Developer;Accenture;Vilnius;€ 3600 – 5500;Senior
Senior Product Manager;Locatory.com;Vilnius;€ 4133;Senior
IT analitikas (-ė);Vilniaus šilumos tinklai, AB;Lithuania;€ 2300 – 3445;Unspecified
MS Dynamics NAV/ Business Central Developer;EUROAPOTHECA, UAB;Vilnius;€ 3000 – 4200;Unspecified
IOS Developer;abz.agency®;Vilnius;€ 8.5 – 14/h;Unspecified
Front-end developer (React, Vue);abz.agency®;Vilnius;€ 5 – 8.8/h;Unspecified
Ieškome IT analitiko (-ės) Vilniuje;Valstybinio socialinio draudimo fondo valdyba prie Socialines apsaugos ir darbo ministerijos;Vilnius / Remote;€ 2000 – 3000;Unspecified
Ieškome testuotojo (-os) Vilniuje;Valstybinio socialinio draudimo fondo valdyba prie Socialines apsaugos ir darbo ministerijos;Vilnius / Remote;€ 1800 – 2700;Unspecified
Ieškome Sistemos (produkto) savininko(-ės) Vilniuje;Valstybinio socialinio draudimo fondo valdyba prie Socialines apsaugos ir darbo ministerijos;Vilnius / Remote;€ 2300 – 3500;Unspecified
Technical Support Specialist (Azure Cloud);QDev Technologies, UAB;Vilnius;€ 3100 – 4000;Unspecified
IT TESTUOTOJA (-AS);Ignitis Group;Vilnius / Remote;€ 3121 – 4683;Unspecified
Finansinių rizikų analitikas - modeliuotojas (-a);UAB ILTE;Vilnius;€ 3000 – 3800;Unspecified
Vyriausiasis finansinių rizikų analitikas - modeliuotojas (-a);UAB ILTE;Vilnius;€ 4000 – 4800;Unspecified
Unit Manager for the Omnichannel Unit;Baltic Amadeus, UAB;Vilnius;€ 6000 – 9000;Unspecified
Pardavimo vadybininkas (-ė) esamiems ir naujiems klientams (kompiuterinė įranga);Noriu personalo sprendimų grupė;Kaunas;€ 2450 – 4100;Unspecified
Outperformer - Global Management Program: Finance Track;HILTI COMPLETE SYSTEMS, UAB;Vilnius / Remote;€ 2700 – 3300;Unspecified
Service Delivery Manager (IT Network company);People Link, UAB;Vilnius;€ 3500 – 5000;Unspecified
.NET programuotojas;NRD Companies;Vilnius / Remote;€ 4000 – 5400;Unspecified
IT System Analyst;NRD Companies;Vilnius / Remote;€ 3500 – 4700;Unspecified
Data Analyst for Risk & Procurement team;Visma Tech, UAB;Vilnius / Remote;€ 2800 – 5000;Unspecified
Outperformer - Global Management Program: Finance Track;HILTI COMPLETE SYSTEMS, UAB;Vilnius / Remote;€ 2700 – 3300;Unspecified
Engineering Leadership Development Program for Graduates;HILTI COMPLETE SYSTEMS, UAB;Vilnius / Remote;€ 2700 – 3300;Senior
Outperformer - Global Management Program: Business Track;HILTI COMPLETE SYSTEMS, UAB;Vilnius / Remote;€ 2700 – 3300;Unspecified
Junior Data Management Consultant;EY;Vilnius / Remote;€ 2000 – 2700;Junior
Verslo aplikacijų ekspertė (-as);LTG;Vilnius;€ 2980 – 4470;Unspecified
Fullstack Developer;Accenture;Vilnius;€ 2600 – 3425;Unspecified
IT sprendimų vadovė (-as);Regitra, AB;Vilnius;€ 2350 – 3000;Unspecified
Vyr. Duomenų mokslininkas (-ė);Registrų centras, VĮ;Vilnius / Remote;€ 3520 – 5280;Unspecified
Senior Engineer in Internal Identity and Access Management | SEB, Vilnius;SEB;Vilnius;€ 3000 – 4500;Senior
Software Developer;Nasdaq Vilnius Services, UAB;Vilnius;€ 3700 – 4200;Unspecified
QA Test Analyst;Nasdaq Vilnius Services, UAB;Vilnius;€ 3500 – 4000;Unspecified
Junior Software Developer;Nasdaq Vilnius Services, UAB;Vilnius;€ 2500 – 3500;Junior
Klientų aptarnavimo specialistas (-ė);OPTAS IT, UAB;Kaunas;€ 1500 – 2000;Unspecified
Vyr. Programuotojas (-a);BnP Finance, UAB;Vilnius;€ 4000 – 5000;Unspecified
Test Automation Lead;Accenture;Vilnius / Remote;€ 3900 – 6815;Senior
Intern in Data Unit (summer internship);If P&C Insurance AS filialas;Vilnius;€ 1100;Junior
Senior Test Automation Engineer;Accenture;Vilnius / Remote;€ 3175 – 5340;Senior
.NET Technical Lead;Baltic Amadeus, UAB;Vilnius / Remote;€ 4600 – 7100;Senior
QA Engineer (Omni+ Unit);Baltic Amadeus, UAB;Vilnius / Remote;€ 2200 – 3310;Unspecified
QA Engineer (Junior);Baltic Amadeus, UAB;Vilnius / Remote;€ 1100 – 2200;Junior
PHP Developer (Junior);Baltic Amadeus, UAB;Vilnius / Remote;€ 1100 – 2900;Junior
PHP Developer;Baltic Amadeus, UAB;Vilnius / Remote;€ 2600 – 4500;Unspecified
IT Product manager;CV-Online klientas;Kaunas;€ 4000 – 5000;Unspecified
Back-End Developer (AI implementation);Emplonet, UAB;Vilnius;€ 4000 – 6000;Unspecified
IT specialistas;Karoliniškių poliklinika VŠĮ;Vilnius;€ 2740;Unspecified
Outperformer - Global Management Program: Business Track;HILTI COMPLETE SYSTEMS, UAB;Vilnius / Remote;€ 2700 – 3300;Unspecified
Engineering Leadership Development Program for Graduates;HILTI COMPLETE SYSTEMS, UAB;Vilnius / Remote;€ 2700 – 3300;Senior
IS specialistas I Technologijų skyrius;CENTRINĖ PROJEKTŲ VALDYMO AGENTŪRA VŠĮ;Vilnius / Remote;€ 2374 – 2963;Unspecified
Technologijų vadovas (-ė) (Microsoft produktams);Registrų centras, VĮ;Vilnius;€ 3520 – 5280;Unspecified
