Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority,salary_range_pct
Duomenų inžinierius (-ė) Duomenų valdymo departamente,Duomenų inžinierius (-ė) Duomenų valdymo departamente,Vilnius / Remote,€ 3220 – 4830,3220.0,4830.0,4025.0,1610.0,Data Engineer,Not Specified,50.0
Data Analyst for Risk & Procurement team,Data Analyst for Risk & Procurement team,Vilnius / Remote,€ 2800 – 5000,2800.0,5000.0,3900.0,2200.0,Data Analyst,Not Specified,78.57142857142857
Outperformer - Global Management Program: Finance Track,Outperformer - Global Management Program: Finance Track,Vilnius / Remote,€ 2700 – 3300,2700.0,3300.0,3000.0,600.0,Other,Not Specified,22.22222222222222
Engineering Leadership Development Program for Graduates,Engineering Leadership Development Program for Graduates,Vilnius / Remote,€ 2700 – 3300,2700.0,3300.0,3000.0,600.0,Senior/Lead Position,Senior,22.22222222222222
Outperformer - Global Management Program: Business Track,Outperformer - Global Management Program: Business Track,Vilnius / Remote,€ 2700 – 3300,2700.0,3300.0,3000.0,600.0,Other,Not Specified,22.22222222222222
Junior Data Management Consultant,Junior Data Management Consultant,Vilnius / Remote,€ 2000 – 2700,2000.0,2700.0,2350.0,700.0,Other,Junior,35.0
Verslo aplikacijų ekspertė (-as),Verslo aplikacijų ekspertė (-as),Vilnius,€ 2980 – 4470,2980.0,4470.0,3725.0,1490.0,Other,Not Specified,50.0
Fullstack Developer,Fullstack Developer,Vilnius,€ 2600 – 3425,2600.0,3425.0,3012.5,825.0,Software Developer,Not Specified,31.73076923076923
IT sprendimų vadovė (-as),IT sprendimų vadovė (-as),Vilnius,€ 2350 – 3000,2350.0,3000.0,2675.0,650.0,Other,Not Specified,27.659574468085108
Vyr. Duomenų mokslininkas (-ė),Vyr. Duomenų mokslininkas (-ė),Vilnius / Remote,€ 3520 – 5280,3520.0,5280.0,4400.0,1760.0,Data Scientist,Senior,50.0
IT Platform Engineer for MLOps (Machine Learning) Area,IT Platform Engineer for MLOps (Machine Learning) Area,Vilnius,€ 3280 – 4920,3280.0,4920.0,4100.0,1640.0,Data Scientist,Not Specified,50.0
Business System Support Analyst (+Danish language bonus allowance),Business System Support Analyst (+Danish language bonus allowance),Vilnius,€ 1480 – 2220,1480.0,2220.0,1850.0,740.0,IT Support,Not Specified,50.0
"Senior Engineer in Internal Identity and Access Management | SEB, Vilnius","Senior Engineer in Internal Identity and Access Management | SEB, Vilnius",Vilnius,€ 3000 – 4500,3000.0,4500.0,3750.0,1500.0,Senior/Lead Position,Junior,50.0
Software Developer,Software Developer,Vilnius,€ 3700 – 4200,3700.0,4200.0,3950.0,500.0,Software Developer,Not Specified,13.513513513513514
QA Test Analyst,QA Test Analyst,Vilnius,€ 3500 – 4000,3500.0,4000.0,3750.0,500.0,QA Engineer,Not Specified,14.285714285714285
Junior Software Developer,Junior Software Developer,Vilnius,€ 2500 – 3500,2500.0,3500.0,3000.0,1000.0,Software Developer,Junior,40.0
Klientų aptarnavimo specialistas (-ė),Klientų aptarnavimo specialistas (-ė),Kaunas,€ 1500 – 2000,1500.0,2000.0,1750.0,500.0,Other,Not Specified,33.33333333333333
Vyr. Programuotojas (-a),Vyr. Programuotojas (-a),Vilnius,€ 4000 – 5000,4000.0,5000.0,4500.0,1000.0,Software Developer,Senior,25.0
Test Automation Lead,Test Automation Lead,Vilnius / Remote,€ 3900 – 6815,3900.0,6815.0,5357.5,2915.0,QA Engineer,Senior,74.74358974358975
Senior iOS Software Engineer in Customer Engagement Individuals,Senior iOS Software Engineer in Customer Engagement Individuals,Vilnius,€ 4320 – 6480,4320.0,6480.0,5400.0,2160.0,Software Developer,Senior,50.0
Senior Test Automation Engineer,Senior Test Automation Engineer,Vilnius / Remote,€ 3175 – 5340,3175.0,5340.0,4257.5,2165.0,QA Engineer,Senior,68.18897637795276
Senior Android Software Engineer in Customer Engagement Individuals,Senior Android Software Engineer in Customer Engagement Individuals,Vilnius,€ 4320 – 6480,4320.0,6480.0,5400.0,2160.0,Software Developer,Senior,50.0
.NET Technical Lead,.NET Technical Lead,Vilnius / Remote,€ 4600 – 7100,4600.0,7100.0,5850.0,2500.0,Software Developer,Senior,54.347826086956516
QA Engineer (Omni+ Unit),QA Engineer (Omni+ Unit),Vilnius / Remote,€ 2200 – 3310,2200.0,3310.0,2755.0,1110.0,QA Engineer,Not Specified,50.45454545454545
Senior .NET Software Engineer in Welcoming and Orchestration Tribe,Senior .NET Software Engineer in Welcoming and Orchestration Tribe,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,Software Developer,Senior,50.0
