Company,Position Title,Salary Range (€),Seniority Level,Publishing Date,Skills Required,City,Job Link
TransferGo,IT Project Manager,"3,500 – 5,500",Mid,2025-04-15,"Azure, Microservices, C#, Python",Šiauliai,https://www.linkedin.com/jobs/view/transfergo-it-project-manager-in-šiauliai/
Tesonet,Data Engineer,"4,000 – 6,000",Mid,2025-03-31,"Windows Server, Angular, Linux, NoSQL",Panevėžys,https://www.linkedin.com/jobs/view/tesonet-data-engineer-in-panevėžys/
Cognizant,Cybersecurity Specialist,"2,500 – 4,000",Lead,2025-04-26,"Docker, Python, Angular, AWS",Klaipėda,https://www.linkedin.com/jobs/view/cognizant-cybersecurity-specialist-in-klaipėda/
Barclays Lithuania,Mobile App Developer,"3,000 – 5,000",Senior,2025-04-04,"Linux, Docker, SQL, Scrum",Šiauliai,https://www.linkedin.com/jobs/view/barclays-lithuania-mobile-app-developer-in-šiauliai/
Devbridge,Backend Developer,"2,500 – 4,000",Mid-Senior,2025-04-04,"C#, Python, Kubernetes, Windows Server",Kaunas,https://www.linkedin.com/jobs/view/devbridge-backend-developer-in-kaunas/
Barclays Lithuania,Mobile App Developer,"3,000 – 5,000",Junior,2025-04-07,"Docker, Agile, Scrum, C#",Vilnius,https://www.linkedin.com/jobs/view/barclays-lithuania-mobile-app-developer-in-vilnius/
Adform,Mobile App Developer,"5,000+",Junior,2025-04-04,"CI/CD, Docker, Windows Server, Agile",Šiauliai,https://www.linkedin.com/jobs/view/adform-mobile-app-developer-in-šiauliai/
Accenture,Product Manager,"2,500 – 4,000",Lead,2025-04-18,"React, CI/CD, SQL, Linux",Šiauliai,https://www.linkedin.com/jobs/view/accenture-product-manager-in-šiauliai/
Revolut,IT Project Manager,"4,000 – 6,000",Senior,2025-04-09,"CI/CD, Angular, Scrum, SQL",Šiauliai,https://www.linkedin.com/jobs/view/revolut-it-project-manager-in-šiauliai/
Accenture,QA Engineer,"2,000 – 3,000",Lead,2025-04-03,"React, Microservices, Windows Server, AWS",Panevėžys,https://www.linkedin.com/jobs/view/accenture-qa-engineer-in-panevėžys/
Revolut,IT Business Analyst,"5,000+",Senior,2025-04-10,"AWS, Angular, SQL, Azure",Panevėžys,https://www.linkedin.com/jobs/view/revolut-it-business-analyst-in-panevėžys/
Tesonet,Cloud Architect,"2,500 – 4,000",Lead,2025-04-25,"C#, Docker, Microservices, Kubernetes",Kaunas,https://www.linkedin.com/jobs/view/tesonet-cloud-architect-in-kaunas/
Planner5d,Data Scientist,"3,500 – 5,500",Mid-Senior,2025-04-15,"Angular, C#, Windows Server, Scrum",Panevėžys,https://www.linkedin.com/jobs/view/planner5d-data-scientist-in-panevėžys/
Adform,Software Engineer,"3,500 – 5,500",Mid,2025-04-23,"Azure, Windows Server, React, Docker",Šiauliai,https://www.linkedin.com/jobs/view/adform-software-engineer-in-šiauliai/
Cognizant,IT Project Manager,"4,000 – 6,000",Mid-Senior,2025-04-28,"React, Linux, Kubernetes, CI/CD",Panevėžys,https://www.linkedin.com/jobs/view/cognizant-it-project-manager-in-panevėžys/
Flo Health,Product Manager,"2,500 – 4,000",Senior,2025-04-26,"Angular, Microservices, Linux, CI/CD",Šiauliai,https://www.linkedin.com/jobs/view/flo-health-product-manager-in-šiauliai/
Adform,Software Engineer,"3,500 – 5,500",Senior,2025-04-06,"Azure, Windows Server, Scrum, Agile",Klaipėda,https://www.linkedin.com/jobs/view/adform-software-engineer-in-klaipėda/
Revolut,QA Engineer,"5,000+",Senior,2025-04-11,"Scrum, Angular, CI/CD, Windows Server",Klaipėda,https://www.linkedin.com/jobs/view/revolut-qa-engineer-in-klaipėda/
Vinted,Cloud Architect,"2,000 – 3,000",Junior,2025-04-15,"Azure, Java, Kubernetes, Microservices",Kaunas,https://www.linkedin.com/jobs/view/vinted-cloud-architect-in-kaunas/
Moody's Lithuania,Software Engineer,"3,000 – 5,000",Mid-Senior,2025-04-03,"CI/CD, AWS, Java, Microservices",Šiauliai,https://www.linkedin.com/jobs/view/moody's-lithuania-software-engineer-in-šiauliai/
Vinted,IT Project Manager,"4,000 – 6,000",Senior,2025-04-13,"Java, Docker, Azure, Angular",Klaipėda,https://www.linkedin.com/jobs/view/vinted-it-project-manager-in-klaipėda/
Danske Bank,Frontend Developer,"2,500 – 4,000",Lead,2025-04-11,"Microservices, C#, NoSQL, CI/CD",Klaipėda,https://www.linkedin.com/jobs/view/danske-bank-frontend-developer-in-klaipėda/
Vinted,Data Scientist,"2,500 – 4,000",Senior,2025-03-31,"SQL, AWS, Angular, Java",Panevėžys,https://www.linkedin.com/jobs/view/vinted-data-scientist-in-panevėžys/
Revolut,Frontend Developer,"3,500 – 5,500",Junior,2025-04-17,"CI/CD, Kubernetes, Linux, React",Vilnius,https://www.linkedin.com/jobs/view/revolut-frontend-developer-in-vilnius/
Danske Bank,Data Scientist,"3,000 – 5,000",Mid-Senior,2025-04-11,"Windows Server, Kubernetes, Agile, C#",Kaunas,https://www.linkedin.com/jobs/view/danske-bank-data-scientist-in-kaunas/
Moody's Lithuania,Frontend Developer,"4,000 – 6,000",Mid,2025-04-23,"Java, AWS, Angular, Linux",Šiauliai,https://www.linkedin.com/jobs/view/moody's-lithuania-frontend-developer-in-šiauliai/
Adform,Data Scientist,"5,000+",Lead,2025-04-02,"Agile, Windows Server, React, Python",Vilnius,https://www.linkedin.com/jobs/view/adform-data-scientist-in-vilnius/
Accenture,Security Analyst,"2,500 – 4,000",Mid-Senior,2025-04-27,"Scrum, AWS, NoSQL, Agile",Panevėžys,https://www.linkedin.com/jobs/view/accenture-security-analyst-in-panevėžys/
Adform,Cloud Architect,"2,500 – 4,000",Lead,2025-04-13,"Azure, Kubernetes, Docker, React",Šiauliai,https://www.linkedin.com/jobs/view/adform-cloud-architect-in-šiauliai/
Flo Health,IT Business Analyst,"5,000+",Mid-Senior,2025-04-22,"Windows Server, React, Kubernetes, Python",Kaunas,https://www.linkedin.com/jobs/view/flo-health-it-business-analyst-in-kaunas/
Tesonet,IT Business Analyst,"5,000+",Junior,2025-04-23,"Microservices, AWS, Python, Kubernetes",Kaunas,https://www.linkedin.com/jobs/view/tesonet-it-business-analyst-in-kaunas/
IBM Lithuania,DevOps Engineer,"2,500 – 4,000",Senior,2025-04-27,"React, Microservices, Linux, C#",Panevėžys,https://www.linkedin.com/jobs/view/ibm-lithuania-devops-engineer-in-panevėžys/
Nord Security,Cloud Architect,"2,500 – 4,000",Junior,2025-04-23,"NoSQL, Linux, C#, Angular",Klaipėda,https://www.linkedin.com/jobs/view/nord-security-cloud-architect-in-klaipėda/
Wix.com,Mobile App Developer,"2,000 – 3,000",Mid,2025-04-13,"Linux, Azure, C#, Agile",Vilnius,https://www.linkedin.com/jobs/view/wix.com-mobile-app-developer-in-vilnius/
Planner5d,IT Project Manager,"2,000 – 3,000",Senior,2025-04-17,"CI/CD, Docker, Scrum, C#",Šiauliai,https://www.linkedin.com/jobs/view/planner5d-it-project-manager-in-šiauliai/
Accenture,Product Manager,"5,000+",Senior,2025-04-04,"Python, AWS, Kubernetes, Microservices",Panevėžys,https://www.linkedin.com/jobs/view/accenture-product-manager-in-panevėžys/
Wix.com,Data Scientist,"5,000+",Mid,2025-04-28,"CI/CD, Java, Azure, Agile",Vilnius,https://www.linkedin.com/jobs/view/wix.com-data-scientist-in-vilnius/
TransferGo,Cloud Architect,"2,500 – 4,000",Mid-Senior,2025-04-28,"Agile, Java, React, Angular",Klaipėda,https://www.linkedin.com/jobs/view/transfergo-cloud-architect-in-klaipėda/
Revolut,Product Manager,"4,000 – 6,000",Junior,2025-03-29,"SQL, Windows Server, React, C#",Šiauliai,https://www.linkedin.com/jobs/view/revolut-product-manager-in-šiauliai/
Cognizant,Data Engineer,"4,000 – 6,000",Lead,2025-04-10,"NoSQL, Docker, Python, Java",Šiauliai,https://www.linkedin.com/jobs/view/cognizant-data-engineer-in-šiauliai/
GetJet Airlines,Cybersecurity Specialist,"4,000 – 6,000",Mid,2025-04-27,"AWS, Agile, Angular, Docker",Šiauliai,https://www.linkedin.com/jobs/view/getjet-airlines-cybersecurity-specialist-in-šiauliai/
Cognizant,IT Business Analyst,"2,500 – 4,000",Mid,2025-04-21,"Linux, SQL, Windows Server, C#",Klaipėda,https://www.linkedin.com/jobs/view/cognizant-it-business-analyst-in-klaipėda/
Vinted,Product Manager,"5,000+",Mid-Senior,2025-04-09,"SQL, Docker, Java, Kubernetes",Panevėžys,https://www.linkedin.com/jobs/view/vinted-product-manager-in-panevėžys/
Devbridge,DevOps Engineer,"3,500 – 5,500",Lead,2025-04-13,"Kubernetes, Agile, React, AWS",Panevėžys,https://www.linkedin.com/jobs/view/devbridge-devops-engineer-in-panevėžys/
IBM Lithuania,Frontend Developer,"2,500 – 4,000",Mid-Senior,2025-03-30,"C#, Windows Server, NoSQL, Agile",Panevėžys,https://www.linkedin.com/jobs/view/ibm-lithuania-frontend-developer-in-panevėžys/
SEB,Security Analyst,"3,000 – 5,000",Senior,2025-04-14,"AWS, Agile, React, Azure",Šiauliai,https://www.linkedin.com/jobs/view/seb-security-analyst-in-šiauliai/
Tesonet,Backend Developer,"2,500 – 4,000",Mid-Senior,2025-04-14,"Agile, CI/CD, React, NoSQL",Šiauliai,https://www.linkedin.com/jobs/view/tesonet-backend-developer-in-šiauliai/
TransferGo,QA Engineer,"5,000+",Mid-Senior,2025-04-03,"Microservices, Docker, React, Linux",Kaunas,https://www.linkedin.com/jobs/view/transfergo-qa-engineer-in-kaunas/
Cognizant,Backend Developer,"2,000 – 3,000",Mid-Senior,2025-04-10,"Microservices, React, C#, Azure",Vilnius,https://www.linkedin.com/jobs/view/cognizant-backend-developer-in-vilnius/
Sanitex Lietuva,QA Engineer,"2,000 – 3,000",Mid-Senior,2025-04-16,"SQL, React, Azure, C#",Šiauliai,https://www.linkedin.com/jobs/view/sanitex-lietuva-qa-engineer-in-šiauliai/
Flo Health,Systems Administrator,"4,000 – 6,000",Junior,2025-04-13,"Agile, Java, Scrum, Kubernetes",Šiauliai,https://www.linkedin.com/jobs/view/flo-health-systems-administrator-in-šiauliai/
Devbridge,Cybersecurity Specialist,"5,000+",Mid-Senior,2025-04-18,"C#, Scrum, Docker, Linux",Panevėžys,https://www.linkedin.com/jobs/view/devbridge-cybersecurity-specialist-in-panevėžys/
