Company,Position Title,Salary Range (€),Seniority Level,Publishing Date,Skills Required,City
TransferGo,QA Engineer,"2,500 – 4,000",Junior,2025-04-14,"AWS, SQL, CI/CD, Linux",Klaipėda
Sanitex Lietuva,Data Scientist,"2,500 – 4,000",Mid-Senior,2025-04-14,"Kubernetes, Azure, NoSQL, SQL",Klaipėda
Planner5d,Frontend Developer,"2,000 – 3,000",Junior,2025-04-22,"CI/CD, Scrum, SQL, Agile",Klaipėda
Moody's Lithuania,IT Business Analyst,"4,000 – 6,000",Lead,2025-04-05,"AWS, Microservices, CI/CD, React",Panevėžys
Devbridge,QA Engineer,"2,500 – 4,000",Lead,2025-04-22,"C#, Microservices, React, Docker",Kaunas
Barclays Lithuania,Software Engineer,"5,000+",Mid-Senior,2025-04-14,"C#, NoSQL, React, Azure",Vilnius
Cognizant,Software Engineer,"2,000 – 3,000",Mid,2025-04-13,"React, CI/CD, Azure, Linux",Vilnius
Moody's Lithuania,Mobile App Developer,"2,000 – 3,000",Lead,2025-04-27,"React, NoSQL, Agile, Scrum",Šiauliai
Flo Health,QA Engineer,"2,000 – 3,000",Mid-Senior,2025-04-27,"CI/CD, Java, SQL, Azure",Kaunas
Accenture,Data Scientist,"2,500 – 4,000",Mid,2025-04-23,"Agile, Angular, Python, Microservices",Klaipėda
GetJet Airlines,Product Manager,"3,000 – 5,000",Senior,2025-04-16,"SQL, Azure, Python, Java",Kaunas
Tietoevry,Cloud Architect,"2,500 – 4,000",Lead,2025-04-11,"AWS, Python, Kubernetes, Docker",Šiauliai
Wix.com,Product Manager,"2,500 – 4,000",Senior,2025-03-31,"NoSQL, SQL, Python, Azure",Kaunas
Danske Bank,Cloud Architect,"3,500 – 5,500",Lead,2025-04-26,"Python, Azure, Windows Server, Agile",Klaipėda
Revolut,Cybersecurity Specialist,"2,000 – 3,000",Senior,2025-04-21,"Agile, Angular, C#, Microservices",Klaipėda
Revolut,Frontend Developer,"2,000 – 3,000",Mid,2025-04-18,"Windows Server, Kubernetes, Docker, Angular",Panevėžys
Barclays Lithuania,Frontend Developer,"3,000 – 5,000",Mid,2025-03-29,"React, Microservices, Kubernetes, Angular",Panevėžys
TransferGo,IT Business Analyst,"3,500 – 5,500",Mid,2025-04-10,"AWS, Python, CI/CD, NoSQL",Klaipėda
Sanitex Lietuva,Systems Administrator,"2,500 – 4,000",Lead,2025-04-23,"C#, Angular, NoSQL, Agile",Šiauliai
GetJet Airlines,Product Manager,"5,000+",Lead,2025-04-23,"Docker, AWS, Microservices, Agile",Panevėžys
Flo Health,Data Engineer,"2,000 – 3,000",Junior,2025-04-14,"Angular, Kubernetes, Linux, CI/CD",Vilnius
Sanitex Lietuva,Data Scientist,"4,000 – 6,000",Mid-Senior,2025-04-10,"SQL, Azure, NoSQL, Agile",Panevėžys
Nord Security,Cloud Architect,"2,000 – 3,000",Junior,2025-04-19,"Java, Docker, React, Python",Kaunas
Moody's Lithuania,Cybersecurity Specialist,"2,000 – 3,000",Mid-Senior,2025-04-13,"Docker, React, Agile, AWS",Kaunas
GetJet Airlines,IT Business Analyst,"3,500 – 5,500",Mid-Senior,2025-04-22,"CI/CD, Linux, NoSQL, Azure",Kaunas
Wix.com,Security Analyst,"4,000 – 6,000",Mid-Senior,2025-04-08,"Java, Angular, SQL, Docker",Klaipėda
Nord Security,Software Engineer,"5,000+",Mid-Senior,2025-04-17,"React, AWS, CI/CD, Microservices",Klaipėda
IBM Lithuania,QA Engineer,"4,000 – 6,000",Senior,2025-04-06,"Scrum, Agile, Linux, NoSQL",Klaipėda
Flo Health,Cloud Architect,"3,000 – 5,000",Senior,2025-04-02,"CI/CD, Microservices, Kubernetes, Windows Server",Šiauliai
Danske Bank,Backend Developer,"2,500 – 4,000",Mid,2025-04-09,"Agile, Azure, Windows Server, NoSQL",Panevėžys
Cognizant,Data Scientist,"2,000 – 3,000",Senior,2025-04-05,"React, Microservices, AWS, Kubernetes",Kaunas
GetJet Airlines,Cloud Architect,"3,000 – 5,000",Mid,2025-04-06,"SQL, Kubernetes, Angular, Java",Kaunas
Moody's Lithuania,IT Business Analyst,"2,500 – 4,000",Senior,2025-04-09,"Kubernetes, Microservices, Windows Server, Docker",Šiauliai
Adform,DevOps Engineer,"3,000 – 5,000",Lead,2025-04-20,"Python, SQL, Linux, React",Vilnius
TransferGo,Systems Administrator,"2,500 – 4,000",Mid,2025-03-31,"React, SQL, Java, Windows Server",Panevėžys
Flo Health,Security Analyst,"5,000+",Lead,2025-04-11,"AWS, Azure, C#, Linux",Klaipėda
Tietoevry,Mobile App Developer,"3,000 – 5,000",Senior,2025-04-10,"Java, Python, Azure, SQL",Kaunas
TransferGo,Systems Administrator,"2,500 – 4,000",Junior,2025-04-24,"React, Python, Docker, C#",Kaunas
Moody's Lithuania,Cloud Architect,"3,500 – 5,500",Lead,2025-04-14,"Scrum, Python, Linux, Docker",Panevėžys
Tesonet,Cybersecurity Specialist,"3,000 – 5,000",Junior,2025-04-27,"Linux, Scrum, C#, Angular",Panevėžys
SEB,QA Engineer,"5,000+",Junior,2025-04-07,"Java, Python, Agile, Kubernetes",Vilnius
TransferGo,QA Engineer,"5,000+",Mid,2025-04-23,"C#, Angular, Python, React",Vilnius
IBM Lithuania,Frontend Developer,"5,000+",Mid-Senior,2025-04-28,"SQL, Angular, Java, React",Kaunas
Devbridge,IT Project Manager,"3,000 – 5,000",Mid-Senior,2025-04-19,"Windows Server, C#, Microservices, Linux",Kaunas
Flo Health,Software Engineer,"2,500 – 4,000",Senior,2025-04-03,"CI/CD, AWS, Microservices, Windows Server",Kaunas
Moody's Lithuania,Cloud Architect,"4,000 – 6,000",Junior,2025-04-23,"SQL, Python, React, Java",Panevėžys
Revolut,IT Project Manager,"3,500 – 5,500",Mid,2025-04-16,"Agile, Linux, Docker, Python",Šiauliai
GetJet Airlines,Product Manager,"4,000 – 6,000",Junior,2025-03-29,"SQL, Python, Windows Server, Linux",Vilnius
GetJet Airlines,Mobile App Developer,"4,000 – 6,000",Mid-Senior,2025-04-01,"Windows Server, Azure, Agile, C#",Klaipėda
Tesonet,Systems Administrator,"2,000 – 3,000",Junior,2025-03-31,"CI/CD, Microservices, Kubernetes, Windows Server",Šiauliai
Tietoevry,Cloud Architect,"2,000 – 3,000",Lead,2025-04-03,"Angular, CI/CD, Linux, Agile",Klaipėda
Cognizant,Data Engineer,"3,000 – 5,000",Lead,2025-04-09,"Java, C#, React, AWS",Kaunas
Tietoevry,Systems Administrator,"5,000+",Senior,2025-04-28,"Docker, Linux, CI/CD, Kubernetes",Panevėžys
TransferGo,IT Business Analyst,"2,500 – 4,000",Lead,2025-04-03,"Scrum, Agile, Microservices, Linux",Panevėžys
Nord Security,Mobile App Developer,"3,500 – 5,500",Mid-Senior,2025-04-17,"AWS, Kubernetes, C#, Linux",Klaipėda
GetJet Airlines,Data Scientist,"4,000 – 6,000",Junior,2025-04-27,"Kubernetes, AWS, CI/CD, Python",Klaipėda
Tietoevry,Cloud Architect,"2,500 – 4,000",Lead,2025-04-20,"Kubernetes, Docker, C#, React",Šiauliai
Cognizant,IT Project Manager,"2,500 – 4,000",Mid-Senior,2025-04-16,"Java, Agile, SQL, Docker",Panevėžys
Sanitex Lietuva,Mobile App Developer,"3,000 – 5,000",Mid,2025-04-15,"SQL, Windows Server, Kubernetes, Agile",Klaipėda
Moody's Lithuania,Data Scientist,"4,000 – 6,000",Junior,2025-04-05,"Python, Scrum, Linux, Angular",Klaipėda
Tesonet,Cloud Architect,"3,500 – 5,500",Lead,2025-04-10,"SQL, NoSQL, Agile, Scrum",Panevėžys
Vinted,IT Business Analyst,"3,500 – 5,500",Mid-Senior,2025-04-06,"SQL, Kubernetes, C#, Python",Vilnius
Flo Health,DevOps Engineer,"2,000 – 3,000",Junior,2025-04-14,"Linux, Angular, Agile, Windows Server",Klaipėda
Nord Security,Systems Administrator,"4,000 – 6,000",Lead,2025-03-30,"React, Microservices, Windows Server, C#",Klaipėda
Cognizant,IT Project Manager,"4,000 – 6,000",Lead,2025-04-15,"React, SQL, Angular, Docker",Klaipėda
GetJet Airlines,Cloud Architect,"3,000 – 5,000",Lead,2025-04-20,"Java, SQL, Kubernetes, Microservices",Panevėžys
Devbridge,IT Project Manager,"2,500 – 4,000",Senior,2025-04-21,"Agile, Azure, Scrum, Kubernetes",Šiauliai
Sanitex Lietuva,Cloud Architect,"2,500 – 4,000",Lead,2025-04-19,"Scrum, Azure, Linux, C#",Klaipėda
Danske Bank,Software Engineer,"2,500 – 4,000",Junior,2025-04-28,"Azure, Docker, Scrum, React",Klaipėda
Vinted,Security Analyst,"2,000 – 3,000",Senior,2025-04-05,"Azure, Scrum, SQL, Docker",Klaipėda
Wix.com,Backend Developer,"2,500 – 4,000",Junior,2025-04-24,"SQL, Docker, Kubernetes, Angular",Vilnius
Nord Security,Backend Developer,"3,500 – 5,500",Lead,2025-04-07,"CI/CD, Linux, Microservices, SQL",Kaunas
Nord Security,Backend Developer,"3,500 – 5,500",Mid,2025-04-05,"AWS, Linux, Windows Server, Python",Vilnius
