Title;Company;Location;Salary;Seniority;Published
IT sistemų administratoriaus;UAB „J&C Aero“;Vilnius;3300-4500;N/A;4 hours ago.
Sistemų administratorius (-ė);ATEA grupė;Kaunas;1300-1700;N/A;5 hours ago.
Full-Stack Software Engineer (Java/Kotlin,Typescript);UAB „NFQ Technologies“;Vilnius;2500-4640;N/A;5 hours ago.
Technical support engineer;Elinta Charge, UAB;Kaunas;1900-2299;N/A;6 hours ago.
Senior embedded software developer;Elinta Charge, UAB;Kaunas;4000-5000;Senior;6 hours ago.
Business Development Project Manager;EVERWEST, UAB;Vilnius;3290-4110;N/A;7 hours ago.
IT Systems Administrator;Avion Express;Vilnius;3500-4100;N/A;8 hours ago.
IT INFRASTRUCTURE ADMINISTRATOR (F/M/D);Ignitis grupė;Vilnius;2379-3568;N/A;9 hours ago.
Senior Python Developer;UAB „Gurtam“;Vilnius;6000-7000;Senior;10 hours ago.
DATA ENGINEER (F/M/D);Ignitis grupė;Kaunas;3121-4683;N/A;21 hours ago.
DATA ENGINEER (F/M/D);Ignitis grupė;Kaunas;3121-4683;N/A;21 hours ago.
Odoo ERP Programmer (for contract);UAB „J&C Aero“;Vilnius;4800-6199;N/A;1 days ago
Odoo ERP Programuotojas (kontraktui);UAB „J&C Aero“;Vilnius;4800-6200;N/A;1 days ago
CONTROL SOFTWARE DEVELOPER;UAB Emplonet;Kaunas;2500-5500;N/A;1 days ago
JAUNESNYSIS IT SPECIALISTAS (-Ė);UAB „Penkių kontinentų komunikacijų centras“;Vilnius;1500-2000;N/A;1 days ago
IT PROJEKTŲ VADOVAS (-Ė);Sanitex įmonių grupė;Kaunas;2900-4300;N/A;1 days ago
AX/DYNAMICS VYSTYMO ANALITIKAS (-Ė);Sanitex įmonių grupė;Kaunas;1700-2200;N/A;1 days ago
PHP programuotojas (-a);UAB „Agrokoncernas“;Kaunas;2400-3000;N/A;1 days ago
IT system analyst (DWH);UAB „OLYMPIC CASINO GROUP BALTIJA“;Vilnius;4000-4699;N/A;1 days ago
Senior Digital Workplace Engineer;UAB „Convera Lithuania“;Vilnius;From 3000;Senior;1 days ago
IT Support Analyst;UAB „Manpower Lit“;Klaipėda;2000-2300;N/A;1 days ago
Priežiūros specialistas (-ė);ADB „Gjensidige“;Vilnius;1781-2671;N/A;1 days ago
HR|Payroll sprendimų diegėjas (-as) - konsultantas (-ė);OIXIO, UAB;Kaunas;3000-3700;N/A;1 days ago
Internal Project Manager;UAB „NFQ Technologies“;Vilnius;2400-4000;Junior;1 days ago
SENIOR IT PROJECT MANAGER (F/M/D) (INFRASTRUCTURE);Ignitis grupė;Vilnius;3757-5635;Senior;2 days ago
IT PROJECT PORTFOLIO ANALYST (F/M/D);Ignitis grupė;Vilnius;3757-5635;N/A;2 days ago
TEAM LEAD OF IT SYSTEMS ANALYSIS;Ignitis grupė;Vilnius;3594-5390;Senior;2 days ago
Procesų specialistas (-ė);Eglės sanatorija;Kaunas;2400-2900;N/A;2 days ago
IT produktų vadybininkas (-ė) (IT presales);ATEA grupė;Vilnius;1100-1800;N/A;2 days ago
Produktų vadovas (-ė) (Technical Presales);ATEA grupė;Vilnius;1500-2000;N/A;2 days ago
Duomenų perdavimo sprendimų produktų vadybininkas (-ė) (Technical Presales);ATEA grupė;Vilnius;1000-1500;N/A;2 days ago
ERP Analyst/Consultant;UAB „Honestus“;Work from home;From 4300;N/A;2 days ago
Kibernetinio saugumo specialistė (-as);UAB „Bitė Lietuva“;Vilnius;3000-4500;N/A;2 days ago
VYR. PROGRAMUOTOJAS (-A) (JAVA);Registrų Centras, VĮ;Vilnius;2880-4320;N/A;2 days ago
VYR. PROGRAMUOTOJAS (-A) (.NET technologija);Registrų Centras, VĮ;Vilnius;2880-4320;N/A;2 days ago
Python / odoo ERP developer;UAB „Honestus“;Work from home;From 4000;N/A;2 days ago
