Title;Company;Location;Salary;Seniority;Published;Skills
Full Stack Developer;UAB „Nordcode technology“;Vilnius;4100-5000;N/A;15 days ago;java, javascript, php, sql, mysql, postgresql, redis, html, css, sass, less, bootstrap, vue, docker, kubernetes, aws, azure, ai, ci/cd, git
Engineering Manager (Scraping Squad);Oxylabs;Vilnius;5000-6750;N/A;5 minutes ago;php, go, ai, agile
Senior DevOps Engineer (Scraping team);Oxylabs;Vilnius;5800-7400;Senior;5 minutes ago;python, go, docker, kubernetes, aws, azure, gcp, terraform, ansible, ai, devops, ci/cd, git, gitlab, linux, networking
Software Systems Developer;UAB Omega 365 Lithuania;Klaipėda;From 2400;N/A;52 minutes ago;java, javascript, sql, html, css, ai, agile
Junior IT Systems Administrator;UAB „NFQ Technologies“;Kaunas;1500-1700;Junior;1 hours ago.;python, go, swift, less, aws, ai, linux
Junior IT Systems Administrator;UAB „NFQ Technologies“;Vilnius;1500-2300;Junior;1 hours ago.;python, go, swift, less, aws, ai, linux
IT Onsite Inžinierius (-ė) Vilniuje;UAB „BTT Group“;Vilnius;1200-1600;N/A;1 hours ago.;go, ai
Database Administrator;BIGBANK AS filialas;Vilnius;3900-7768;N/A;1 hours ago.;go, sql, mysql, postgresql, mongodb, ai
SALESFORCE DEVELOPER;UAB Emplonet;Vilnius;3500-4500;N/A;2 hours ago.;java, javascript, c++, sql, ai, devops
IT ir Projektų valdymo skyriaus vadovas (-ė);UAB „PRO BRO Group“;Vilnius;4500-5800;N/A;3 hours ago.;go, ai
Kibernetinių grėsmių paieškos specialistas (-ė);Nacionalinis kibernetinio saugumo centras prie KAM;Vilnius;3000-4000;N/A;3 hours ago.;python, go, ai
Vyr. BC Programuotojas (-a);UAB „Indigroup“;Vilnius;3750-6000;N/A;3 hours ago.;go, sql, docker, ai, ci/cd, git, agile, scrum
Digital Solutions Project Manager;ERGO;Vilnius;2800-3200;N/A;4 hours ago.;go, ai, git
Software Engineer (PHP);UAB „NFQ Technologies“;Vilnius;2500-4640;N/A;13 hours ago.;php, go, sql, mysql, less, ai, git, agile, scrum, rest api
Programuotojas - inžinierius;Panevėžio butų ūkis, AB;Panevėžys;2000;N/A;20 hours ago.;go, ai
Senior Data Engineer;UAB „Indigroup“;Vilnius;5000-6000;Senior;22 hours ago.;python, go, sql, docker, kubernetes, aws, azure, gcp, machine learning, ai
IT ir skaitmenizacijos specialistė (-as);EPSO-G grupė;Kaunas;2000-2500;N/A;22 hours ago.;go, ai
DYNAMICS 365 FINANCE AND OPERATIONS (AX) KONSULTANTĖ (-AS);Ignitis grupė;Vilnius;3066-4599;N/A;22 hours ago.;go, ai
.NET TEAM LEAD • TELEMATICS;„Teltonikos“ įmonių grupė;Vilnius;4680-6067;Senior;22 hours ago.;java, c#, go, sql, mysql, react, aws, azure, gcp, ai, devops, ci/cd, git, agile, scrum
WAREHOUSE TEAM LEAD;UAB „Aros Marine“;France;3000-3500;Senior;22 hours ago.;go, ai
VYR. TESTUOTOJAS (-A) (Senior Tester);Registrų Centras, VĮ;Vilnius;2376-3564;Senior;22 hours ago.;go, sql, ai
IT SPECIALISTAS (-Ė);AB „Kelių priežiūra“;Klaipėda;2100-2400;N/A;23 hours ago.;go, ai
