Title;Company;Location;Salary;Seniority;Published;Expires;Skills;Job URL
Embedded Software Developer;Light Conversion, UAB;Vilnius;€ 3000 – 5600;N/A;6 days ago;2025.06.05;2+ years embedded firmware development experience with C/C++ on ARM/Cortex based microcontrollers, Experience with various interfaces like SPI, I2C, UART development, Experience with Timer, PWM, ADC, CAN, USB, RTOS development, Experience with development on KEIL, IAR, Eclipse, Visual Studio Code, Team and support: Youll be part of a unique, highly skilled R&D team, receiving continuous advice and support from experienced colleagues, Competitive Salary and Bonuses: The monthly salary range for this position is 3000 – 5600 EUR (gross), depending on your experience and skills. Additionally, you will earn 10 % bonuses based on individual and company performance + profit sharing;https://www.cvonline.lt/en/vacancy/1366204/light-conversion-uab/embedded-software-developer
Konsultantas (-ė) - CRM (Senior);GO-ERP, UAB;Vilnius / Remote;€ 2000 – 4000;Senior;13 days ago;2025.05.29;N/A;https://www.cvonline.lt/en/vacancy/1363228/go-erp-uab/konsultantas-crm-senior
Microsoft Dynamics Business Central konsultantas (-ė);GO-ERP, UAB;Vilnius / Remote;€ 3305 – 4958;N/A;13 days ago;2025.05.29;N/A;https://www.cvonline.lt/en/vacancy/1363227/go-erp-uab/microsoft-dynamics-business-central-konsultantas
Junior Integration Engineer;Johnson Matthey Global Business Services Lithuania, UAB;Vilnius;€ 3416 – 4666;Junior;20 days ago;2025.05.22;"Fostering a culture of continuous learning and collaboration within the team through active knowledge sharing and mentorship., Experience working as an engineer, with a keen interest in transitioning to or growing within the integrations space., Experience with integration services (preferably Azure); familiarity with SAP APIs is highly desirable., Experience in designing and implementing integration solutions in collaboration with the Integration Platform team., Knowledge in maintaining integration standards, guardrails, and best practices., Good communication skills.";https://www.cvonline.lt/en/vacancy/1359786/johnson-matthey-global-business-services-lithuania-uab/junior-integration-engineer
MLOps engineer;Accenture;Vilnius / Remote;€ 3300 – 5350;N/A;Renewed about 1 hour ago;2025.06.04;N/A;https://www.cvonline.lt/en/vacancy/1365496/accenture/mlops-engineer
Large Language Modelling/Gen AI engineer;Accenture;Vilnius / Remote;€ 2600 – 5050;N/A;Renewed about 1 hour ago;2025.06.04;N/A;https://www.cvonline.lt/en/vacancy/1365495/accenture/large-language-modelling-gen-ai-engineer
Data Analyst for Risk & Procurement team;Visma Tech, UAB;Vilnius / Remote;€ 2800 – 5000;N/A;about 1 hour ago;2025.06.11;"Proven experience as a Data Analyst or in a similar role focusing on data modelling and BI analytics., Advanced SQL skills., Strong analytical skills and the ability to convert complex data into clear business insights., Excellent organisational communication and collaboration skills, with a track record of successful cross-functional engagement., Domain knowledge or prior experience in risk management, procurement, legal, compliance, or security is highly desirable but not needed if you are excellent with data ;), We have internal knowledge sharing sessions where we learn the newest trends in programming languages, QA, security, etc., Gross salary 2800 - 5000 EUR. Keep in mind that we are open to discuss your salary based on your competence and experience.";https://www.cvonline.lt/en/vacancy/1369375/visma-tech-uab/data-analyst-for-risk-and-procurement-team
.NET Developer for Idella team;Visma Tech, UAB;Vilnius / Remote;€ 2800 – 5500;N/A;about 1 hour ago;2025.06.11;Experience with C#, ASP.NET MVC., Experience with Microsoft Azure., Having knowledge about methodologies relevant to development, such as agile, Continuous Delivery, and DevOps., Understanding and having knowledge of automated testing concepts and techniques., Good written and verbal English skills., Youll be working with the fields top-notch specialists and one of them will become your coach. 💪 Also here in Visma we have an international network of specialists within the organisation to build Your rep and skills even stronger., We have internal knowledge sharing sessions where we learn the newest trends in programming languages, QA, security, etc. 💻, Gross salary 2800-5500 EUR. 💸 Keep in mind that we are open to discuss your salary based on your competence and experience.;https://www.cvonline.lt/en/vacancy/1369374/visma-tech-uab/net-developer-for-idella-team
Junior Data Management Consultant;EY;Vilnius / Remote;€ 2000 – 2700;Junior;about 2 hours ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1369328/ey/junior-data-management-consultant
Technical Support Specialist (Azure Cloud);QDev Technologies, UAB;Vilnius;€ 3100 – 4000;N/A;about 3 hours ago;2025.06.11;Excellent IT skills (MS OS, MS Server OS, MS SQL Server, etc.), Knowledge of Azure Cloud Platform, Strong understanding of virtual networking concepts including Virtual Networks (VNets), Experience with Azure DevOps for CI/CD pipelines, managing code repositories (Git), and automating deployments, Knowledge of configuration and orchestration tools (e.g., Terraform, Ansible) is an advantage, Knowledge of containerization and distributed systems (e.g., Docker, Kubernetes) is an advantage, Experience in programming would be preferred, Desire to learn and deepen knowledge with provided training, Very good communication and English skills written and spoken., Online and offline training/workshops and other knowledge-sharing possibilities;https://www.cvonline.lt/en/vacancy/1369272/qdev-technologies-uab/technical-support-specialist-azure-cloud
AI Engineer;Emplonet, UAB;Kaunas;€ 5800 – 7500;N/A;about 3 hours ago;2025.06.11;Experience with AI frameworks such as TensorFlow, PyTorch, or OpenAI models., Understanding of machine learning, natural language processing, and automation techniques., Strong problem-solving skills and ability to work in a collaborative environment., Excellent communication skills and ability to explain complex AI concepts to non-experts.;https://www.cvonline.lt/en/vacancy/1369271/emplonet-uab/ai-engineer
Technical Support Specialist (French);QDev Technologies, UAB;Vilnius / Remote;€ 2200 – 2700;N/A;about 3 hours ago;2025.06.11;Strong IT user skills (MS Office, Intranet, remote maintenance tools, etc.), Strong IT skills (MS OS, MS SharePoint, MS Server OS, MS SQL Server, cyber security, etc.), Understanding of the basics of e-health, data security and related topics, Up-to-date knowledge of IT and digitalization, Online and offline training/workshops and other knowledge-sharing possibilities;https://www.cvonline.lt/en/vacancy/1369268/qdev-technologies-uab/technical-support-specialist-french
Salesforce Administrator;Emplonet, UAB;Vilnius;€ 2500 – 3500;N/A;about 3 hours ago;2025.06.11;Practical experience (minimum 1 year) with Salesforce, especially Sales Cloud and/or Service Cloud., Strong communication and collaboration skills to work effectively with internal team and end users., Bachelors/Postgraduate degree, professional qualification, or relevant experience., Basic knowledge of Apex and LWC., Experience with the Gearset DevOps solution.;https://www.cvonline.lt/en/vacancy/1369267/emplonet-uab/salesforce-administrator
Service Delivery Manager (IT Network company);People Link, UAB;Vilnius;€ 3500 – 5000;N/A;about 3 hours ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1369258/people-link-uab/service-delivery-manager-it-network-company
SAP EWM Functional analyst;Accenture;Vilnius;€ 3800 – 5200;N/A;about 3 hours ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1369244/accenture/sap-ewm-functional-analyst
SAP Financial accounting/Controlling functional analyst;Accenture;Vilnius;€ 3800 – 5200;N/A;about 3 hours ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1369243/accenture/sap-financial-accounting-controlling-functional-analyst
Manual Quality Assurance Engineer;People Link, UAB;Kaunas;€ 2000 – 4000;N/A;about 3 hours ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1369239/people-link-uab/manual-quality-assurance-engineer
Automated Quality Assurance Engineer;People Link, UAB;Kaunas;€ 2500 – 5000;N/A;about 3 hours ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1369238/people-link-uab/automated-quality-assurance-engineer
Head of Network Reliability and Optimization;Danske Bank Lithuania;Vilnius;€ 5760 – 8640;Senior;about 4 hours ago;2025.06.09;"Bachelors degree in engineering, computer science, or a related field, or equivalent practical experience, Extensive experience in public cloud technologies, with a track record of running effective operations across cloud environments, Over 5 years of technical experience in networking and infrastructure, coupled with 3+ years of leadership experience, Strong expertise in network domains, with broader infrastructure knowledge and insights into application environments, Value teamwork, sharing and expanding knowledge, and analyzing failures as opportunities for improvement, Advanced English language skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1369233/danske-bank-lithuania/head-of-network-reliability-and-optimization
