Title;Company;Location;Salary;Seniority;Published;Expires;Skills
Senior Software Engineer;CAST AI Baltic, UAB;Vilnius / Remote;€ 6500 – 9000;Senior;11 days ago;2025.05.19;go, kubernetes, aws, azure, gcp, ai, devops, ci/cd
Senior Backend Engineer, Devex Platform;Wix.com, UAB;Vilnius;€ 5000 – 8000;Senior;23 days ago;2025.05.23;go, ai, ci/cd
Brand and Web Designer - Design Hub Vilnius;Wix.com, UAB;Vilnius;€ 3000 – 5500;N/A;23 days ago;2025.05.23;git
Frontend Engineer - Wix Emails;Wix.com, UAB;Vilnius;€ 5000 – 8000;N/A;23 days ago;2025.05.23;N/A
Design Team Lead – Vilnius Design Studio;Wix.com, UAB;Vilnius;€ 4500 – 5500;Senior;28 days ago;2025.05.18;ai
Senior Java Engineer;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;7 minutes ago;2025.06.15;go, ai, devops, ci/cd, rest api
.NET Engineer in Housing Journeys Tribe;Danske Bank Lithuania;Vilnius;€ 3520 – 5280;N/A;about 1 hour ago;2025.06.15;c#, go, agile
Platform Engineer;Quadigi, UAB;Kaunas;€ 3800 – 6300;N/A;about 2 hours ago;2025.06.15;python, c++, go, ai, ci/cd, jenkins, linux
Tech Architect;ERGO Insurance SE Lietuvos filialas;Vilnius / Remote;€ 4500 – 5500;N/A;about 2 hours ago;2025.06.15;N/A
Senior .NET Software Engineer in Cards Domain;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;about 3 hours ago;2025.06.02;c#, go, sql, kubernetes, terraform, ai, ci/cd, kafka
Java programuotojas (-a);Regitra, AB;Vilnius;€ 2500 – 3300;N/A;Renewed about 4 hours ago;2025.05.29;N/A
Telecom Engineer Ukraine;Belam - Riga SIA;Vilnius;€ 3000;N/A;Renewed about 8 hours ago;2025.05.25;N/A
Senior Full Stack Developer in Process Information Management;Danske Bank Lithuania;Vilnius;€ 4400 – 6600;Senior;Renewed about 8 hours ago;2025.06.10;aws, azure, ai, ci/cd
Full Stack Developer in Process Information Management;Danske Bank Lithuania;Vilnius;€ 3440 – 5160;N/A;Renewed about 8 hours ago;2025.06.10;aws, azure, ai, ci/cd
Senior Software Engineer (.NET) in Markets Analytics Platform Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;Renewed about 8 hours ago;2025.06.10;go, ai
Senior IT Solution Architect for Pay Transparency Program;Danske Bank Lithuania;Vilnius;€ 5440 – 8160;Senior;Renewed about 8 hours ago;2025.06.04;go, agile
Product Security Tool Developer;Quadigi, UAB;Kaunas / Remote;€ 3000 – 5000;N/A;about 18 hours ago;2025.06.14;python, java, javascript, html, css, vue, docker, ai, rest api
HSE Manager;SIA Aerones Engineering;Latvia;€ 3500 – 4000;N/A;Renewed about 19 hours ago;2025.06.06;ai
Jaunesnioji (-ysis) tinklų inžinierė (-ius);LTG;Vilnius;€ 2590 – 3890;N/A;about 19 hours ago;2025.05.29;N/A
Senior Business Analyst for Data Platform Tribe;Danske Bank Lithuania;Vilnius;€ 3600 – 5400;Senior;about 19 hours ago;2025.06.12;go
Senior Business Analyst for Data Platform Tribe;Danske Bank Lithuania;Vilnius;€ 3600 – 5400;Senior;about 19 hours ago;2025.06.12;go
Informacinių technologijų sistemų administratorius (-ė);Lietuvos Respublikos valstybinis patentų biuras;Vilnius / Remote;€ 1807 – 2718;N/A;Renewed about 20 hours ago;2025.05.24;N/A
Vyr. projektų vadovas (-ė) (paslaugų standartizavimui);Registrų centras, VĮ;Vilnius;€ 3161 – 4741;N/A;about 21 hours ago;2025.06.14;N/A
.NET Software Engineer in Wealth Planning and Investments Tribe;Danske Bank Lithuania;Vilnius;€ 3520 – 5280;N/A;Renewed about 22 hours ago;2025.06.06;sql, agile
Verslo sistemų vystymo skyriaus vadovas (-ė);UAB ILTE;Vilnius;€ 4300 – 6300;N/A;about 22 hours ago;2025.06.14;N/A
IS infrastruktūros skyriaus vadovas (-ė);UAB ILTE;Vilnius;€ 4300 – 6300;N/A;about 22 hours ago;2025.06.14;N/A
Duomenų inžinerijos ir analitikos skyriaus vadovas (-ė);UAB ILTE;Vilnius;€ 4300 – 6300;N/A;about 22 hours ago;2025.06.14;N/A
Digital Solutions Project Manager;ERGO Insurance SE Lietuvos filialas;Vilnius / Remote;€ 2800 – 3200;N/A;1 day ago;2025.06.08;N/A
Informacinių sistemų analitikas (-ė);Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos;Kaunas;€ 1900 – 3500;N/A;1 day ago;2025.06.14;N/A
Vyr. BC Programuotojas (-a);Indigroup;Vilnius / Remote;€ 3750 – 6000;N/A;1 day ago;2025.06.14;N/A
Team Lead in IT Department;Lietuvos draudimas, AB;Vilnius;€ 5000 – 6300;Senior;1 day ago;2025.06.14;agile, scrum
Full-stack (.NET/Angular) Developer for Visma Business NXT team;Visma Tech, UAB;Vilnius / Remote;€ 3600 – 5000;N/A;1 day ago;2025.06.14;go
Go Developer (Travel and Transportation sphere);Coherent Solutions, UAB;Vilnius / Remote;€ 4000;N/A;Renewed 1 day ago;2025.05.17;go, terraform, ai
Angular Developer (Diagnostic Solutions);Coherent Solutions, UAB;Vilnius / Remote;€ 2000;N/A;Renewed 1 day ago;2025.05.16;sql, react, angular, aws, azure, ai
Išmanių namų inžinierius (-ė);Išmanaus namo sprendimai, UAB;Kaunas / Remote;€ 1699 – 3900;N/A;1 day ago;2025.06.14;N/A
