Title;Company;Location;Salary
Projektų vadovas;Nordcode;Vilnius;2500–4300 Eur
UI/UX dizaineris (-ė);Nordcode;Vilnius;Nuo 3000 EUR.
PHP Symfony programuotojas (-ja);Nordcode;Vilnius;4100 - 5000 Eur
IT Sistemų analitikas (-ė);Nordcode;Vilnius;2800-3800 Eur
Kokybės užtikrinimo specialistas (-ė);Nordcode;Vilnius;2500-3600 Eur
Full-Stack Software Engineer (Java/Kotlin,Typescript);NFQ Technologies;Vilnius / Kaunas;: € 2500 - 4640 gross / month
Head of Business Unit;NFQ Technologies;Vilnius / Kaunas;€ 4800 - 7200 (gross / month) + Motivational System
Head of Engineering;NFQ Technologies;Vilnius / Kaunas / ŠIauliai;€ 5120 - 7680 gross / month + motivational system
Internal Project Manager;NFQ Technologies;Vilnius / Kaunas / ŠIauliai;€ 2400 - 4000 gross / month
Lead Cloud Engineer;NFQ Technologies;Vilnius / Kaunas;€ 4920 - 7380 gross / month
Lead Software Engineer & Team Lead (PHP);NFQ Technologies;Vilnius / Kaunas / ŠIauliai;€ 4920 - 7380 gross / month
Lead Software Engineer (.NET);NFQ Technologies;Vilnius / Kaunas;€ 4500 - 7500 (gross / month)
Lead Software Engineer (PHP);NFQ Technologies;Vilnius / Kaunas;€ 4500 - 7500 (gross / month)
Office Manager;NFQ Technologies;Kaunas;€ 1950 - 2880 gross / month
Senior AI Engineer;NFQ Technologies;Vilnius / Kaunas Or Remote Within Lithuania;€ 3500 - 6500 (gross / month)
Senior IT Project Manager;NFQ Technologies;Vilnius / Kaunas / ŠIauliai Or Remote Within Lithuania;€ 3760 - 6600 gross / month
Senior IT Project Manager;NFQ Technologies;Vilnius / Kaunas / ŠIauliai;€ 3760 - 6600 gross / month
Senior Software Engineer (.NET);NFQ Technologies;Vilnius / Kaunas;€ 4500 - 7500 (gross / month)
Senior Software Engineer (PHP);NFQ Technologies;Vilnius / Kaunas;€ 4500 - 7500 (gross / month)
Software Engineer (PHP);NFQ Technologies;Vilnius / Kaunas / ŠIauliai;: € 2500 - 4640 gross / month
