Title;Company;Location;Salary
UI/UX dizaineris (-ė);Nordcode;Vilnius;Nuo 3000 EUR.
PHP Symfony programuotojas (-ja);Nordcode;Vilnius;4100 - 5000 Eur
IT Sistemų analitikas (-ė);Nordcode;Vilnius;2800-3800 Eur
Kokybės užtikrinimo specialistas (-ė);Nordcode;Vilnius;2500-3600 Eur
Programuotojas (-ja);Nordcode;Vilnius;4100 - 5000 Eur
Head of Business Unit;NFQ Technologies;Vilnius/Kaunas;€ 4800 - 7200 (gross / month) + Motivational System
Head of Engineering;NFQ Technologies;Vilnius/Kaunas/ŠIauliai;€ 5120 - 7680 gross / month + motivational system
Internal Project Manager;NFQ Technologies;Vilnius/Kaunas/ŠIauliai;€ 2400 - 4000 gross / month
Junior Client Support Specialist;NFQ Technologies;Vilnius/Kaunas;: € 1440 - 2160 gross / month
Lead Cloud Engineer;NFQ Technologies;Vilnius/Kaunas;€ 4920 - 7380 gross / month
Lead Software Engineer & Team Lead (PHP);NFQ Technologies;Vilnius/Kaunas/ŠIauliai;€ 4920 - 7380 gross / month
Lead Software Engineer (.NET);NFQ Technologies;Vilnius/Kaunas;€ 4500 - 7500 (gross / month)
Lead Software Engineer (PHP);NFQ Technologies;Vilnius/Kaunas;€ 4500 - 7500 (gross / month)
Office Manager;NFQ Technologies;Kaunas;€ 1950 - 2880 gross / month
Senior IT Project Manager;NFQ Technologies;Vilnius/Kaunas/ŠIauliai Or Remote Within Lithuania;€ 3760 - 6600 gross / month
Senior Software Engineer (.NET);NFQ Technologies;Vilnius/Kaunas;€ 4500 - 7500 (gross / month)
Senior Software Engineer (PHP);NFQ Technologies;Vilnius/Kaunas;€ 4500 - 7500 (gross / month)
Software Engineer (Java);NFQ Technologies;Vilnius/Kaunas;: € 2500 - 4640 gross / month
Software Engineer (PHP);NFQ Technologies;Vilnius/Kaunas/ŠIauliai;: € 2500 - 4640 gross / month
Cyber Security Project Manager;NRD Cyber Security;Vilnius, Lithuania;N/A
IT Auditor;NRD Cyber Security;Vilnius, Lithuania;3500–5000
Sales and Business Development Assistant;NRD Cyber Security;Vilnius, Lithuania;1800–2300
Senior Capacity Building Expert;NRD Cyber Security;Vilnius, Lithuania;4500–5500
.NET Developer;Fintegry;Not specified;2000–4500
FRONT-END Developer;Fintegry;Not specified;2000–4500
Senior Software Engineer;CAST AI Baltic, UAB;Vilnius / Remote;€ 6500 – 9000
Konsultantas (-ė) - CRM (Senior);GO-ERP, UAB;Vilnius / Remote;€ 2000 – 4000
Microsoft Dynamics Business Central konsultantas (-ė);GO-ERP, UAB;Vilnius / Remote;€ 3305 – 4958
Junior Integration Engineer;Johnson Matthey Global Business Services Lithuania, UAB;Vilnius;€ 3416 – 4666
.NET Developer;Yamsoft, UAB;Kaunas / Remote;€ 3000 – 5000
ŽMONIŲ DUOMENŲ ANALITIKĖ (-AS);Ignitis Group;Vilnius;€ 2666 – 3999
HSE Manager;SIA Aerones Engineering;Latvia;€ 3500 – 4000
Senior Salesforce Developer;Accenture;Vilnius;€ 3600 – 5500
Java Technical Lead for Business to Government Unit;Baltic Amadeus, UAB;Vilnius / Remote;€ 4500 – 5500
Senior Data Engineer;Indigroup;Vilnius;€ 5000 – 6000
Sistemos ekspertė (-as);LTG;Vilnius;€ 2485 – 3725
Vyr. testuotojas (-a) / Senior tester;Registrų centras, VĮ;Vilnius;€ 2376 – 3564
Kompetencijų centro pilotas(-ė) – operatorius(-ė) (20 val./per savaitę);Oro navigacija, AB;Vilnius;€ 1032 – 1194
DYNAMICS 365 FINANCE AND OPERATIONS (AX) KONSULTANTĖ (-AS);Ignitis Group;Vilnius;€ 3066 – 4599
Senior Systems Engineer - Windows Server;Moody's;Vilnius;€ 4200 – 6700
.NET Software Engineer in Wealth Planning and Investments Tribe;Danske Bank Lithuania;Vilnius;€ 3520 – 5280
Flight Software Engineer;SIA Origin Robotics;Latvia;€ 3000 – 6000
Finansų tarnybos Duomenų analizės skyriaus vyriausiasis (-ioji) analitikas (-ė);Mykolo Romerio Universitetas;Vilnius;€ 1992 – 2696
Analitikas (-ė);VšĮ Medijų rėmimo fondas;Vilnius / Remote;€ 2200 – 2600
Vyr. duomenų analitikas (-ė) (statistikos, duomenų mokslo sritys);Registrų centras, VĮ;Lithuania / Remote;€ 2628 – 3942
IT TESTUOTOJA (-AS);Ignitis Group;Vilnius;€ 2240 – 3361
Įmonės direktorius (-ė) (IT paslaugas teikianti įmonė);Personalo valdymo inovacijos, UAB;Vilnius;€ 8265 – 10744
Telecom Engineer Ukraine;Belam - Riga SIA;Vilnius;€ 3000
Senior Full Stack Developer in Process Information Management;Danske Bank Lithuania;Vilnius;€ 4400 – 6600
Full Stack Developer in Process Information Management;Danske Bank Lithuania;Vilnius;€ 3440 – 5160
Senior Software Engineer (.NET) in Markets Analytics Platform Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840
Senior IT Solution Architect for Pay Transparency Program;Danske Bank Lithuania;Vilnius;€ 5440 – 8160
Tech Lead / Solution Architect in Mobile Team | SEB, Vilnius;SEB;Vilnius;€ 4350 – 6550
B2B Sales Manager;Sopena Group (Baltic);Vilnius;€ 2000 – 3500
IT ANALITIKĖ (-AS);Ignitis Group;Vilnius;€ 2379 – 3568
INTEGRACIJŲ INŽINERIJOS PLĖTROS VADOVĖ (-AS) (SCRUM MASTER);Ignitis Group;Vilnius;€ 3466 – 5199
Vyriausiasis finansinių rizikų analitikas - modeliuotojas (-a);UAB ILTE;Vilnius;€ 4000 – 4800
Finansinių rizikų analitikas - modeliuotojas (-a);UAB ILTE;Vilnius;€ 3000 – 3800
Produkto vadovas (-ė) (MS Dynamics 365 Business central);Registrų centras, VĮ;Vilnius;€ 2628 – 3942
Back-End Engineer (fixed term);Kilo Health - UAB Kilo grupė;Vilnius / Remote;€ 5000 – 7000
Finance System Administrator;People Link, UAB;Kaunas;€ 2900 – 3600
SENIOR INFRASTRUCTURE ADMINISTRATOR (F/M/D);Ignitis Group;Kaunas;€ 2641 – 3962
SENIOR INFRASTRUCTURE ADMINISTRATOR (F/M/D);Ignitis Group;Kaunas;€ 2641 – 3962
Duomenų tinklo administratorė (-ius);EPSO-G įmonių grupė;Vilnius;€ 3300 – 4200
Embedded Software Developer;Light Conversion, UAB;Vilnius;€ 3000 – 5600
ETL programuotojas(-a)/ duomenų inžinierius(-ė);Paspara, UAB;Vilnius / Remote;€ 2500 – 4200
Pardavimų projektų vadovas (-ė);Novian Pro;Vilnius;€ 2900 – 3600
IT Vyresnysis specialistas (-ė);Vilniaus universiteto ligoninės Santaros klinikos;Vilnius;€ 3000
SENIOR INFRASTRUCTURE ADMINISTRATOR (F/M/D);Ignitis Group;Kaunas;€ 2641 – 3962
IT paslaugas teikiančios įmonės vadovas;Personalo valdymo inovacijos, UAB;Vilnius;€ 8265 – 10744
Senior RPA developer;Cognizant Lietuva;Vilnius;€ 4050 – 5130
System Developer (RPA);Cognizant Lietuva;Vilnius;€ 3500 – 4420
Mid/Senior C++/Qt Engineer;Quadigi, UAB;Kauno apskritis / Remote;€ 3500 – 6300
Senior/Principal C++/Qt Engineer;Quadigi, UAB;Kaunas / Remote;€ 4000 – 6800
Data Engineer;Avia Solutions Group;Vilnius / Remote;€ 3350 – 5000
MLOps engineer;Accenture;Vilnius / Remote;€ 3300 – 5350
Large Language Modelling/Gen AI engineer;Accenture;Vilnius / Remote;€ 2600 – 5050
Data Analyst for Risk & Procurement team;Visma Tech, UAB;Vilnius / Remote;€ 2800 – 5000
.NET Developer for Idella team;Visma Tech, UAB;Vilnius / Remote;€ 2800 – 5500
Junior Data Management Consultant;EY;Vilnius / Remote;€ 2000 – 2700
AI Engineer;Emplonet, UAB;Kaunas;€ 5800 – 7500
Technical Support Specialist (French);QDev Technologies, UAB;Vilnius / Remote;€ 2200 – 2700
Salesforce Administrator;Emplonet, UAB;Vilnius;€ 2500 – 3500
Service Delivery Manager (IT Network company);People Link, UAB;Vilnius;€ 3500 – 5000
SAP EWM Functional analyst;Accenture;Vilnius;€ 3800 – 5200
SAP Financial accounting/Controlling functional analyst;Accenture;Vilnius;€ 3800 – 5200
Manual Quality Assurance Engineer;People Link, UAB;Kaunas;€ 2000 – 4000
Automated Quality Assurance Engineer;People Link, UAB;Kaunas;€ 2500 – 5000
Head of Network Reliability and Optimization;Danske Bank Lithuania;Vilnius;€ 5760 – 8640
Java Engineer in Advisory, Org data and Groups;Danske Bank Lithuania;Vilnius;€ 3520 – 5280
IT Engineer for MS 365 Productivity | SEB, Vilnius;SEB;Vilnius;€ 2550 – 3400
Quality Assurance Engineer;Luminor Bank, AB;Vilnius;€ 4010 – 6550
Senior .NET Full-Stack developer;Accenture;Vilnius / Remote;€ 2500 – 4600
Pogrupio vadovas (-ė);Light Conversion, UAB;Vilnius;€ 3100 – 4000
IT pagalbos specialistas (-ė);Lidl Lietuva, UAB;Vilnius;€ 2235 – 2590
Senior Systems Engineer - Network Support;Moody's;Vilnius;€ 4200 – 6700
Off-Page SEO Lead;UAB GG Group Media;Vilnius / Remote;€ 3000
SEO Specialist;UAB GG Group Media;Vilnius / Remote;€ 2400
Unit Manager for the Omnichannel Unit;Baltic Amadeus, UAB;Vilnius;€ 6000 – 9000
Java programuotojas (-a);Regitra, AB;Vilnius;€ 2500 – 3300
Informacinių technologijų sistemų administratorius (-ė);Lietuvos Respublikos valstybinis patentų biuras;Vilnius / Remote;€ 1807 – 2718
IT pagalbos specialistė (-as);LTG;Kaunas;€ 2030 – 3040
Finansinio audito 2-ojo departamento valstybinis auditorius (-ė) (terminuota darbo sutartis);Lietuvos Respublikos Valstybės Kontrolė;Vilnius;€ 1874 – 2572
Pardavimo vadybininkas (-ė) esamiems ir naujiems klientams (kompiuterinė įranga);Noriu personalo sprendimų grupė;Kaunas;€ 2450 – 4100
Product Owner for Risk Definitions and Events – Risk and Compliance Tribe;Danske Bank Lithuania;Vilnius;€ 5200 – 7800
Senior QA Specialist in Wealth Planning and Investments Tribe;Danske Bank Lithuania;Vilnius;€ 2960 – 4440
IT inžinierius (-ė);Lietuvos paštas, AB;Kaunas;€ 1700 – 2100
Python-Javascript programuotojas;Ortho Baltic, UAB;Kaunas / Remote;€ 3000 – 7000
Go Developer (Travel and Transportation sphere);Coherent Solutions, UAB;Vilnius / Remote;€ 4000
Angular Developer (Diagnostic Solutions);Coherent Solutions, UAB;Vilnius / Remote;€ 2000
QA Specialist in Wealth Planning and Investments Tribe;Danske Bank Lithuania;Vilnius;€ 2480 – 3720
Business Analyst in Solutions Development Team;Danske Bank Lithuania;Vilnius;€ 2880 – 4320
Social Media Manager;Bcreatives, UAB;Vilnius;€ 3400 – 4400
IT pardavimų vadybininkas Kaune;Heksimus, UAB;Kaunas;€ 2000 – 2600
Lead Site Reliability Engineer in Digital Processing | SEB, Kaunas;SEB;Kaunas;€ 4350 – 6550
Training Manager;People Link, UAB;Kaunas;€ 4000 – 5000
IT System Administrator;Avia Solutions Group;Vilnius / Remote;€ 3100 – 4200
Helpdesk Team Lead in Lithuania;ASTRAL Executive Search SIA;Vilnius;€ 3300
IT ir kibernetinio saugumo koordinatorius (-ė);People Link, UAB;Vilnius;€ 2500 – 3600
AI Engineer;Iki Lietuva, UAB;Vilnius;€ 2560 – 4500
Sistemų administratorius (-ė) (KDV priežiūrai);Registrų centras, VĮ;Vilnius;€ 1789 – 2683
Technical Support Specialist (German);QDev Technologies, UAB;Vilnius / Remote;€ 2200 – 2700
Java Internship;Coherent Solutions, UAB;Vilnius / Remote;€ 1
IT pardavimų vadybininkas (-ė) (B2B);Amston klientas;Vilnius;€ 2800 – 2930
Dėstytojas;Klaipėdos valstybinė kolegija;Klaipėda;€ 2160 – 2588
Dėstytojas;Klaipėdos valstybinė kolegija;Klaipėda;€ 2160 – 2588
JUNIOR GIS SPECIALIST (F/M/D) I IGNITIS RENEWABLES;Ignitis Group;Vilnius;€ 1580 – 2371
Senior Systems Engineer - Storage and Backup;Moody's;Vilnius;€ 4200 – 6700
Senior Cloud DevOps Engineer in Finance Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840
Duomenų inžinierius (-ė) Duomenų valdymo departamente;AB Artea bankas;Vilnius / Remote;€ 3220 – 4830
UX/UI Designer (Maternity cover);Danske Bank Lithuania;Vilnius;€ 2960 – 4440
Software Engineer;GetJet Airlines, UAB;Vilnius;€ 2500 – 5000
Veiklos analitikas (-ė) (Juridinių asmenų registras);Registrų centras, VĮ;Vilnius;€ 2175 – 3263
Mid/Senior QA Engineer for Progress OpenEdge Unit;Baltic Amadeus, UAB;Vilnius / Remote;€ 2500 – 3800
Senior Solution Architect for the Universal Capabilities Squad, Workflow Enablement;Danske Bank Lithuania;Vilnius;€ 5600 – 8400
Projektų koordinatorius (-ė) (teisiniai klausimai);AUGA;Vilnius;€ 2500 – 3000
CityBee .NET Back-End Developer (Vilnius or Kaunas);Modus Mobility;Vilnius;€ 4100
Duomenų analitikė (-as);EPSO-G įmonių grupė;Vilnius;€ 2700 – 3500
Mid Level C++ Software Engineer;Emplonet, UAB;Vilnius;€ 3800 – 5000
System (Azure) Administrator;Emplonet, UAB;Kaunas;€ 4132.24 – 4462.8
IS specialistas (-ė);Emplonet, UAB;Vilnius;€ 2900 – 3100
Produkto vadovas (-ė);Emplonet, UAB;Vilnius;€ 3800 – 4000
Vyr. IS administratorius (-ė);Emplonet, UAB;Vilnius;€ 3300 – 4500
Vyr. ekspertas (-ė) (Dirbtinis intelektas - Teisės sritis);Inovacijų agentūra, VšĮ;Vilnius;€ 2800 – 3500
Software Quality Engineer;Viltechmeda, UAB;Vilnius;€ 3000 – 3700
Senior JAVA Developer for Pathway team;Visma Tech, UAB;Vilnius / Remote;€ 3600 – 6300
Techninės kontrolės inžinierius (-ė);Iremas, UAB;Jonava;€ 1600 – 3000
Komercijos vadybininkas (-ė);Iremas, UAB;Jonava;€ 1700 – 3000
IT Platform Engineer for MLOps (Machine Learning) Area;Danske Bank Lithuania;Vilnius;€ 3280 – 4920
Power Platform Developer;Avia Solutions Group;Vilnius / Remote;€ 2500 – 4950
Duomenų analitinių produktų grupės vadovas (-ė);Registrų centras, VĮ;Vilnius;€ 3161 – 4741
IT Project Manager;People Link, UAB;Kaunas;€ 4000 – 5000
Kibernetinių incidentų tyrimo analitikė (-as);LTG;Vilnius;€ 3230 – 4840
SAP HR specialistas (-ė);Lidl Lietuva, UAB;Vilnius;€ 2135 – 2605
Senior Finacial Data Engineer | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450
Data Quality Engineer for Sustainable Banking| SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450
Public IT Tender Specialist;Baltic Amadeus, UAB;Vilnius / Remote;€ 2455 – 4132
Head of IT Operations;FL Technics;Vilnius / Remote;€ 4000
Programinės įrangos inžinierius (-ė) .NET, C#;Viltechmeda, UAB;Vilnius;€ 3000 – 3600
Software QA Engineer (manual);Viltechmeda, UAB;Vilnius;€ 2500 – 3000
Experienced Backend Engineer - Wix Blog;Wix.com, UAB;Vilnius;€ 3500 – 5000
DevOps Engineer;Wix.com, UAB;Vilnius;€ 4500 – 6000
Backend Engineer, Devex Platform;Wix.com, UAB;Vilnius;€ 2500 – 4000
Senior Backend Engineer – CTO Group;Wix.com, UAB;Vilnius;€ 5000 – 8000
Senior Data Platform Engineer for Data Platform Tribe;Danske Bank Lithuania;Vilnius;€ 4160 – 6240
Senior IT Software Engineer;Danske Bank Lithuania;Vilnius;€ 4480 – 6720
IT Platform Engineer within Data Management Support;Danske Bank Lithuania;Vilnius;€ 3280 – 4920
Lead Site Reliability Engineer in Digital Processing | SEB, Vilnius;SEB;Vilnius;€ 4350 – 6550
Software Engineer (Java);Cognizant Lietuva;Vilnius / Remote;€ 3240 – 3810
Senior Data Scientist for Data Validation Team;Danske Bank Lithuania;Vilnius;€ 3440 – 5160
IT pirkimų vyr. specialistas (-ė);Registrų centras, VĮ;Vilnius;€ 2376 – 3564
Senior .NET Software Engineer in Finance Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840
Data Engineering Intern;Littelfuse LT;Kaunas;€ 1200 – 1400
IT Security Intern;Littelfuse LT;Kaunas;€ 1200 – 1400
Product Engineer;AS Inbank filialas;Vilnius;€ 3000 – 5000
Chief DevOps Specialist for SDLC and Standards;Danske Bank Lithuania;Vilnius;€ 5600 – 8399
Produkto savininkas (-ė) (turintis (-i) pavaldžių žmonių);Emplonet, UAB;Vilnius;€ 2708 – 4062
Business Analyst;FL Technics;Vilnius / Remote;€ 3300 – 3650
Microsoft D365 Finansų/SCM sprendimų konsultantas;GO-ERP, UAB;Vilnius / Remote;€ 3305 – 4958
IS analyst-tester;ADB „Gjensidige“;Vilnius;€ 2415 – 3622
MS SQL Solution Developer in Finance Tribe | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450
Projektų vadovas/inžinierius;Ortho Baltic, UAB;Kaunas;€ 2500 – 3000
Data Analytics Intern;Continental Tires Business Services, UAB;Kaunas;€ 1160
IT sprendimų vadovė (-as);Regitra, AB;Vilnius;€ 2350 – 3000
Linux System Administrator;EUROAPOTHECA, UAB;Vilnius;€ 3500 – 4400
Marketing Manager;Digmatix;Vilnius / Remote;€ 3000 – 3500
Senior Software Engineer (Gen AI);Moody's;Vilnius;€ 5200 – 8300
Data Analyst;Kilo Health - UAB Kilo grupė;Vilnius;€ 3000 – 4000
Duomenų analitikas (-ė);Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos;Vilnius / Remote;€ 2200 – 2800
Veiklos/duomenų analitikas (-ė);Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos;Vilnius / Remote;€ 2200 – 2800
Veiklos/duomenų analitikas (-ė);Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos;Vilnius / Remote;€ 2200 – 2800
Full-Stack Java Developer;Indigroup;Vilnius / Remote;€ 3500 – 5900
Senior PHP Developer;Indigroup;Vilnius;€ 5000 – 6000
