Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
Projektų vadovas,Nordcode,Vilnius,2500–4300 Eur,2500.0,4300.0,3400.0,1800.0,Project Manager/Product Owner,Not Specified
PHP Symfony programuotojas (-ja),Nordcode,Vilnius,4100 - 5000 Eur,4100.0,5000.0,4550.0,900.0,Back-end developer,Not Specified
IT Sistemų analitikas (-ė),Nordcode,Vilnius,2800-3800 Eur,2800.0,3800.0,3300.0,1000.0,Data Analyst,Not Specified
Kokybės užtikrinimo specialistas (-ė),Nordcode,Vilnius,2500-3600 Eur,2500.0,3600.0,3050.0,1100.0,Other,Not Specified
Programuotojas (-ja),Nordcode,Vilnius,1800-4200 Eur,1800.0,4200.0,3000.0,2400.0,Software Developer,Not Specified
.NET Developer,Fintegry,Not specified,2000–4500,2000.0,4500.0,3250.0,2500.0,.NET Developer,Not Specified
FRONT-END Developer,Fintegry,Not specified,2000–4500,2000.0,4500.0,3250.0,2500.0,Front-end Web developer,Not Specified
Cyber Security Project Manager,NRD Cyber Security,"Vilnius, Lithuania",3500–5000,3500.0,5000.0,4250.0,1500.0,Project Manager/Product Owner,Not Specified
IT Auditor,NRD Cyber Security,"Vilnius, Lithuania",3500–5000,3500.0,5000.0,4250.0,1500.0,Other,Not Specified
Sales and Business Development Assistant,NRD Cyber Security,"Vilnius, Lithuania",1800–2300,1800.0,2300.0,2050.0,500.0,Other,Not Specified
Senior Capacity Building Expert,NRD Cyber Security,"Vilnius, Lithuania",4500–5500,4500.0,5500.0,5000.0,1000.0,Other,Senior
Head of Business Unit,NFQ Technologies,Vilnius/Kaunas,€ 4800 - 7200 (gross / month) + Motivational System,4800.0,7200.0,6000.0,2400.0,Other,Senior
Head of Engineering,NFQ Technologies,Vilnius/Kaunas/ŠIauliai,€ 5120 - 7680 gross / month + motivational system,5120.0,7680.0,6400.0,2560.0,Other,Senior
Lead Cloud Engineer,NFQ Technologies,Vilnius/Kaunas,€ 4920 - 7380 gross / month,4920.0,7380.0,6150.0,2460.0,DevOps,Senior
Lead Software Engineer & Team Lead (PHP),NFQ Technologies,Vilnius/Kaunas/ŠIauliai,€ 4920 - 7380 gross / month,4920.0,7380.0,6150.0,2460.0,Back-end developer,Senior
Lead Software Engineer (.NET),NFQ Technologies,Vilnius/Kaunas,€ 4500 - 7500 (gross / month),4500.0,7500.0,6000.0,3000.0,.NET Developer,Senior
Lead Software Engineer (PHP),NFQ Technologies,Vilnius/Kaunas,€ 4500 - 7500 (gross / month),4500.0,7500.0,6000.0,3000.0,Back-end developer,Senior
Office Manager,NFQ Technologies,Kaunas,€ 1950 - 2880 gross / month,1950.0,2880.0,2415.0,930.0,Other,Not Specified
Project Manager (Internal),NFQ Technologies,Vilnius/Kaunas/ŠIauliai,€ 2400 - 4000 gross / month,2400.0,4000.0,3200.0,1600.0,Project Manager/Product Owner,Junior
Senior IT Project Manager,NFQ Technologies,Vilnius/Kaunas/ŠIauliai Or Remote Within Lithuania,€ 3760 - 6600 gross / month,3760.0,6600.0,5180.0,2840.0,Project Manager/Product Owner,Senior
Senior IT Project Manager,NFQ Technologies,Vilnius/Kaunas,€ 3760 - 6600 gross / month,3760.0,6600.0,5180.0,2840.0,Project Manager/Product Owner,Senior
Senior Software Engineer (.NET),NFQ Technologies,Vilnius/Kaunas,€ 4500 - 7500 (gross / month),4500.0,7500.0,6000.0,3000.0,.NET Developer,Senior
Senior Software Engineer (PHP),NFQ Technologies,Vilnius/Kaunas,€ 4500 - 7500 (gross / month),4500.0,7500.0,6000.0,3000.0,Back-end developer,Senior
Software Engineer (Java),NFQ Technologies,Vilnius/Kaunas,: € 2500 - 4640 gross / month,2500.0,4640.0,3570.0,2140.0,Java Developer,Not Specified
Software Engineer (PHP),NFQ Technologies,Vilnius/Kaunas/ŠIauliai,: € 2500 - 4640 gross / month,2500.0,4640.0,3570.0,2140.0,Back-end developer,Not Specified
Embedded Software Developer,"Light Conversion, UAB",Vilnius,€ 3000 – 5600,3000.0,5600.0,4300.0,2600.0,Embedded Developer,Not Specified
Full-Stack Developer,"Emplonet, UAB",Vilnius,€ 4000 – 6000,4000.0,6000.0,5000.0,2000.0,Full-stack Developer,Not Specified
IT ir kibernetinio saugumo koordinatorius (-ė),"People Link, UAB",Vilnius,€ 2500 – 3600,2500.0,3600.0,3050.0,1100.0,Security,Not Specified
AI Engineer,"Iki Lietuva, UAB",Vilnius,€ 2560 – 4500,2560.0,4500.0,3530.0,1940.0,Data Scientist,Not Specified
Sistemų administratorius (-ė) (KDV priežiūrai),"Registrų centras, VĮ",Vilnius,€ 1789 – 2683,1789.0,2683.0,2236.0,894.0,IT Support,Not Specified
Technical Support Specialist (German),"QDev Technologies, UAB",Vilnius / Remote,€ 2200 – 2700,2200.0,2700.0,2450.0,500.0,IT Support,Not Specified
Įmonės direktorius (-ė) (IT paslaugas teikianti įmonė),"Personalo valdymo inovacijos, UAB",Vilnius,€ 8265 – 10744,8265.0,10744.0,9504.5,2479.0,Other,Not Specified
Senior Full Stack Developer in Process Information Management,Danske Bank Lithuania,Vilnius,€ 4400 – 6600,4400.0,6600.0,5500.0,2200.0,Full-stack Developer,Senior
Full Stack Developer in Process Information Management,Danske Bank Lithuania,Vilnius,€ 3440 – 5160,3440.0,5160.0,4300.0,1720.0,Full-stack Developer,Not Specified
Senior Software Engineer (.NET) in Markets Analytics Platform Tribe,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,Data Analyst,Senior
IT pardavimų vadybininkas (-ė) (B2B),Amston klientas,Vilnius,€ 2800 – 2930,2800.0,2930.0,2865.0,130.0,Business Analyst,Not Specified
Dėstytojas,Klaipėdos valstybinė kolegija,Klaipėda,€ 2160 – 2588,2160.0,2588.0,2374.0,428.0,Other,Not Specified
Dėstytojas,Klaipėdos valstybinė kolegija,Klaipėda,€ 2160 – 2588,2160.0,2588.0,2374.0,428.0,Other,Not Specified
JUNIOR GIS SPECIALIST (F/M/D) I IGNITIS RENEWABLES,Ignitis Group,Vilnius,€ 1580 – 2371,1580.0,2371.0,1975.5,791.0,System Administrator/Architect,Junior
Senior Systems Engineer - Storage and Backup,Moody's,Vilnius,€ 4200 – 6700,4200.0,6700.0,5450.0,2500.0,Other,Senior
Senior Cloud DevOps Engineer in Finance Tribe,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,DevOps,Senior
Duomenų inžinierius (-ė) Duomenų valdymo departamente,AB Artea bankas,Vilnius / Remote,€ 3220 – 4830,3220.0,4830.0,4025.0,1610.0,Data Engineer,Not Specified
UX/UI Designer (Maternity cover),Danske Bank Lithuania,Vilnius,€ 2960 – 4440,2960.0,4440.0,3700.0,1480.0,Other,Not Specified
Software Engineer,"GetJet Airlines, UAB",Vilnius,€ 2500 – 5000,2500.0,5000.0,3750.0,2500.0,Software Developer,Not Specified
Veiklos analitikas (-ė) (Juridinių asmenų registras),"Registrų centras, VĮ",Vilnius,€ 2175 – 3263,2175.0,3263.0,2719.0,1088.0,Data Analyst,Not Specified
Mid/Senior QA Engineer for Progress OpenEdge Unit,"Baltic Amadeus, UAB",Vilnius / Remote,€ 2500 – 3800,2500.0,3800.0,3150.0,1300.0,QA Engineer,Mid
"Senior Solution Architect for the Universal Capabilities Squad, Workflow Enablement",Danske Bank Lithuania,Vilnius,€ 5600 – 8400,5600.0,8400.0,7000.0,2800.0,Business Analyst,Senior
Projektų koordinatorius (-ė) (teisiniai klausimai),AUGA,Vilnius,€ 2500 – 3000,2500.0,3000.0,2750.0,500.0,Other,Not Specified
Senior Software Engineer,"CAST AI Baltic, UAB",Vilnius / Remote,€ 6500 – 9000,6500.0,9000.0,7750.0,2500.0,Software Developer,Senior
