Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
PHP Symfony programuotojas (-ja),Nordcode,Vilnius,4100 - 5000 Eur,4100.0,5000.0,4550.0,900.0,Back-end developer,Not Specified
IT Sistemų analitikas (-ė),Nordcode,Vilnius,2800-3800 Eur,2800.0,3800.0,3300.0,1000.0,Data Analyst,Not Specified
Kokybės užtikrinimo specialistas (-ė),Nordcode,Vilnius,2500-3600 Eur,2500.0,3600.0,3050.0,1100.0,Other,Not Specified
Programuotojas (-ja),Nordcode,Vilnius,4100 - 5000 Eur,4100.0,5000.0,4550.0,900.0,Software Developer,Not Specified
Head of Business Unit,NFQ Technologies,Vilnius/Kaunas,€ 4800 - 7200 (gross / month) + Motivational System,4800.0,7200.0,6000.0,2400.0,Other,Senior
Head of Engineering,NFQ Technologies,Vilnius/Kaunas/ŠIauliai,€ 5120 - 7680 gross / month + motivational system,5120.0,7680.0,6400.0,2560.0,Other,Senior
Internal Project Manager,NFQ Technologies,Vilnius/Kaunas/ŠIauliai,€ 2400 - 4000 gross / month,2400.0,4000.0,3200.0,1600.0,Project Manager/Product Owner,Junior
Junior Client Support Specialist,NFQ Technologies,Vilnius/Kaunas,: € 1440 - 2160 gross / month,1440.0,2160.0,1800.0,720.0,IT Support,Junior
Lead Cloud Engineer,NFQ Technologies,Vilnius/Kaunas,€ 4920 - 7380 gross / month,4920.0,7380.0,6150.0,2460.0,DevOps,Senior
Lead Software Engineer & Team Lead (PHP),NFQ Technologies,Vilnius/Kaunas/ŠIauliai,€ 4920 - 7380 gross / month,4920.0,7380.0,6150.0,2460.0,Back-end developer,Senior
Lead Software Engineer (.NET),NFQ Technologies,Vilnius/Kaunas,€ 4500 - 7500 (gross / month),4500.0,7500.0,6000.0,3000.0,.NET Developer,Senior
Lead Software Engineer (PHP),NFQ Technologies,Vilnius/Kaunas,€ 4500 - 7500 (gross / month),4500.0,7500.0,6000.0,3000.0,Back-end developer,Senior
Office Manager,NFQ Technologies,Kaunas,€ 1950 - 2880 gross / month,1950.0,2880.0,2415.0,930.0,Other,Not Specified
Senior IT Project Manager,NFQ Technologies,Vilnius/Kaunas/ŠIauliai Or Remote Within Lithuania,€ 3760 - 6600 gross / month,3760.0,6600.0,5180.0,2840.0,Project Manager/Product Owner,Senior
Senior Software Engineer (.NET),NFQ Technologies,Vilnius/Kaunas,€ 4500 - 7500 (gross / month),4500.0,7500.0,6000.0,3000.0,.NET Developer,Senior
Senior Software Engineer (PHP),NFQ Technologies,Vilnius/Kaunas,€ 4500 - 7500 (gross / month),4500.0,7500.0,6000.0,3000.0,Back-end developer,Senior
