Title,Company,Location,Salary,Seniority,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
Senior / Lead DevOps,"Planner5D, UAB",Vilnius,€ 5000 – 7500,Senior,5000.0,7500.0,6250.0,2500.0,DevOps,Senior
AI Engineer,"Emplonet, UAB",Kaunas,€ 5800 – 7500,Unspecified,5800.0,7500.0,6650.0,1700.0,Data Scientist,Not Specified
Java Developer for Business to Government Unit,"Baltic Amadeus, UAB",Vilnius,€ 2600 – 4500,Unspecified,2600.0,4500.0,3550.0,1900.0,Java Developer,Not Specified
Salesforce Developer,"Emplonet, UAB",Vilnius,€ 3500 – 4500,Unspecified,3500.0,4500.0,4000.0,1000.0,Software Developer,Not Specified
Senior Data Analyst,Avion Express,Vilnius / Remote,€ 3636 – 4462,Senior,3636.0,4462.0,4049.0,826.0,Data Analyst,Senior
Full-stack (.NET/Angular) Developer for Visma Business NXT team,"Visma Tech, UAB",Vilnius / Remote,€ 3600 – 5000,Unspecified,3600.0,5000.0,4300.0,1400.0,.NET Developer,Not Specified
Data Engineer for Impairment and Stress Test Analytics,Danske Bank Lithuania,Vilnius,€ 3440 – 5160,Unspecified,3440.0,5160.0,4300.0,1720.0,Data Engineer,Not Specified
IT SISTEMŲ PLĖTROS VADOVĖ (-AS),Ignitis Group,Vilnius,€ 3066 – 4599,Unspecified,3066.0,4599.0,3832.5,1533.0,Other,Not Specified
Senior Data Engineer for Credit Data Solutions Squad,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,Senior,4560.0,6840.0,5700.0,2280.0,Data Engineer,Senior
Analitikė (-as) (Strateginio planavimo ir ekonomikos skyrius),"Valstybinių miškų urėdija, VĮ",Vilnius,€ 2470 – 3211,Unspecified,2470.0,3211.0,2840.5,741.0,Other,Not Specified
IT administratorius (-ė),"Laisvas ir nepriklausomas kanalas, UAB",Vilnius,€ 2200 – 2700,Unspecified,2200.0,2700.0,2450.0,500.0,IT Support,Not Specified
SAP Financial accounting/Controlling functional analyst,Accenture,Vilnius,€ 3800 – 5200,Unspecified,3800.0,5200.0,4500.0,1400.0,Other,Not Specified
SAP EWM Functional analyst,Accenture,Vilnius,€ 3800 – 5200,Unspecified,3800.0,5200.0,4500.0,1400.0,Other,Not Specified
Back-End Software developer (Java),"Emplonet, UAB",Kaunas,€ 4600 – 5500,Unspecified,4600.0,5500.0,5050.0,900.0,Back-end developer,Not Specified
Head of Marketing And Communications,Indigroup,Vilnius,€ 4500 – 5000,Senior,4500.0,5000.0,4750.0,500.0,Other,Senior
IT system architect (Oracle),"Emplonet, UAB",Vilnius,€ 5000 – 5700,Unspecified,5000.0,5700.0,5350.0,700.0,Database Admin,Not Specified
Senior backend Oracle PL/SQL developer,"Emplonet, UAB",Vilnius,€ 3800 – 5200,Senior,3800.0,5200.0,4500.0,1400.0,Back-end developer,Senior
IT Platform Engineer for MLOps (Machine Learning) Area,Danske Bank Lithuania,Vilnius,€ 3280 – 4920,Unspecified,3280.0,4920.0,4100.0,1640.0,Data Scientist,Not Specified
"Mid to Senior UX Designer | SEB, Vilnius",SEB,Vilnius,€ 3000 – 5450,Senior,3000.0,5450.0,4225.0,2450.0,Other,Mid
Senior Java developer,"Emplonet, UAB",Vilnius,€ 3800 – 5200,Senior,3800.0,5200.0,4500.0,1400.0,Java Developer,Senior
IT system architect (Java),"Emplonet, UAB",Vilnius,€ 5000 – 5700,Unspecified,5000.0,5700.0,5350.0,700.0,Java Developer,Not Specified
Dynamics 365 Business Central programuotojas (-a),Digmatix,Vilnius / Remote,€ 2200 – 5500,Unspecified,2200.0,5500.0,3850.0,3300.0,Software Developer,Not Specified
SAP ABAP developer,Accenture,Vilnius / Remote,€ 3175 – 5400,Unspecified,3175.0,5400.0,4287.5,2225.0,Software Developer,Not Specified
SAP Integration Architect,Accenture,Vilnius / Remote,€ 3175 – 5400,Unspecified,3175.0,5400.0,4287.5,2225.0,Other,Not Specified
.NET Developer for Idella team,"Visma Tech, UAB",Vilnius / Remote,€ 2800 – 5500,Unspecified,2800.0,5500.0,4150.0,2700.0,.NET Developer,Not Specified
Informacinių sistemų administratorius (-ė),Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos,Kaunas,€ 1600 – 2400,Unspecified,1600.0,2400.0,2000.0,800.0,IT Support,Not Specified
Informacinių sistemų analitikas (-ė),Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos,Kaunas,€ 1900 – 3500,Unspecified,1900.0,3500.0,2700.0,1600.0,Data Analyst,Not Specified
Test Automation Engineer (C++),"Quadigi, UAB",Vilnius,€ 2500 – 5000,Unspecified,2500.0,5000.0,3750.0,2500.0,Embedded Developer,Not Specified
Test Automation Engineer (Python),"Quadigi, UAB",Vilnius,€ 2300 – 5000,Unspecified,2300.0,5000.0,3650.0,2700.0,Python,Not Specified
Ruby on Rails Developer,"1stopVAT, UAB",Vilnius / Remote,€ 5000 – 7000,Unspecified,5000.0,7000.0,6000.0,2000.0,Back-end developer,Not Specified
JAVA programuotojas (-a),"Lietuvos paštas, AB",Vilnius / Remote,€ 4500 – 4950,Unspecified,4500.0,4950.0,4725.0,450.0,Java Developer,Not Specified
Manual Quality Assurance Engineer,"People Link, UAB",Kaunas,€ 2000 – 4000,Unspecified,2000.0,4000.0,3000.0,2000.0,QA Engineer,Not Specified
Automated Quality Assurance Engineer,"People Link, UAB",Kaunas,€ 2500 – 5000,Unspecified,2500.0,5000.0,3750.0,2500.0,QA Engineer,Not Specified
Senior Salesforce Developer,Accenture,Vilnius,€ 3600 – 5500,Senior,3600.0,5500.0,4550.0,1900.0,Software Developer,Senior
IT analitikas (-ė),"Vilniaus šilumos tinklai, AB",Lithuania,€ 2300 – 3445,Unspecified,2300.0,3445.0,2872.5,1145.0,Data Analyst,Not Specified
MS Dynamics NAV/ Business Central Developer,"EUROAPOTHECA, UAB",Vilnius,€ 3000 – 4200,Unspecified,3000.0,4200.0,3600.0,1200.0,Software Developer,Not Specified
IOS Developer,abz.agency®,Vilnius,€ 8.5 – 14/h,Unspecified,1360.0,2240.0,1800.0,5.5,Mobile Developer,Not Specified
"Front-end developer (React, Vue)",abz.agency®,Vilnius,€ 5 – 8.8/h,Unspecified,800.0,1408.0,1104.0,3.8000000000000007,Front-end Web developer,Not Specified
Ieškome IT analitiko (-ės) Vilniuje,Valstybinio socialinio draudimo fondo valdyba prie Socialines apsaugos ir darbo ministerijos,Vilnius / Remote,€ 2000 – 3000,Unspecified,2000.0,3000.0,2500.0,1000.0,Other,Not Specified
Ieškome testuotojo (-os) Vilniuje,Valstybinio socialinio draudimo fondo valdyba prie Socialines apsaugos ir darbo ministerijos,Vilnius / Remote,€ 1800 – 2700,Unspecified,1800.0,2700.0,2250.0,900.0,QA Engineer,Not Specified
Ieškome Sistemos (produkto) savininko(-ės) Vilniuje,Valstybinio socialinio draudimo fondo valdyba prie Socialines apsaugos ir darbo ministerijos,Vilnius / Remote,€ 2300 – 3500,Unspecified,2300.0,3500.0,2900.0,1200.0,Other,Not Specified
Technical Support Specialist (Azure Cloud),"QDev Technologies, UAB",Vilnius,€ 3100 – 4000,Unspecified,3100.0,4000.0,3550.0,900.0,DevOps,Not Specified
IT TESTUOTOJA (-AS),Ignitis Group,Vilnius / Remote,€ 3121 – 4683,Unspecified,3121.0,4683.0,3902.0,1562.0,QA Engineer,Not Specified
Finansinių rizikų analitikas - modeliuotojas (-a),UAB ILTE,Vilnius,€ 3000 – 3800,Unspecified,3000.0,3800.0,3400.0,800.0,Data Analyst,Not Specified
Vyriausiasis finansinių rizikų analitikas - modeliuotojas (-a),UAB ILTE,Vilnius,€ 4000 – 4800,Unspecified,4000.0,4800.0,4400.0,800.0,Data Analyst,Senior
Unit Manager for the Omnichannel Unit,"Baltic Amadeus, UAB",Vilnius,€ 6000 – 9000,Unspecified,6000.0,9000.0,7500.0,3000.0,Other,Not Specified
Pardavimo vadybininkas (-ė) esamiems ir naujiems klientams (kompiuterinė įranga),Noriu personalo sprendimų grupė,Kaunas,€ 2450 – 4100,Unspecified,2450.0,4100.0,3275.0,1650.0,IT Support,Not Specified
Outperformer - Global Management Program: Finance Track,"HILTI COMPLETE SYSTEMS, UAB",Vilnius / Remote,€ 2700 – 3300,Unspecified,2700.0,3300.0,3000.0,600.0,Other,Not Specified
Service Delivery Manager (IT Network company),"People Link, UAB",Vilnius,€ 3500 – 5000,Unspecified,3500.0,5000.0,4250.0,1500.0,Other,Not Specified
.NET programuotojas,NRD Companies,Vilnius / Remote,€ 4000 – 5400,Unspecified,4000.0,5400.0,4700.0,1400.0,.NET Developer,Not Specified
IT System Analyst,NRD Companies,Vilnius / Remote,€ 3500 – 4700,Unspecified,3500.0,4700.0,4100.0,1200.0,Other,Not Specified
