Title;Company;Location;Salary
Projektų vadovas;Nordcode;Vilnius;2500–4300 Eur
UI/UX dizaineris (-ė);Nordcode;Vilnius;Nuo 3000 EUR.
PHP Symfony programuotojas (-ja);Nordcode;Vilnius;4100 - 5000 Eur
IT Sistemų analitikas (-ė);Nordcode;Vilnius;2800-3800 Eur
Kokybės užtikrinimo specialistas (-ė);Nordcode;Vilnius;2500-3600 Eur
Programuotojas (-ja);Nordcode;Vilnius;1800-4200 Eur
.NET Developer;Fintegry;Not specified;2000–4500
FRONT-END Developer;Fintegry;Not specified;2000–4500
Cyber Security Project Manager;NRD Cyber Security;Vilnius, Lithuania;3500–5000
IT Auditor;NRD Cyber Securityy;Vilnius, Lithuania;3500–5000
Sales and Business Development Assistant;NRD Cyber Security;Vilnius, Lithuania;1800–2300
Senior Capacity Building Expert;NRD Cyber Security;Vilnius, Lithuania;4500–5500
Head of Business Unit;NFQ Technologies;Vilnius/Kaunas;€ 4800 - 7200 (gross / month) + Motivational System
Head of Engineering;NFQ Technologies;Vilnius/Kaunas/ŠIauliai;€ 5120 - 7680 gross / month + motivational system
Lead Cloud Engineer;NFQ Technologies;Vilnius/Kaunas;€ 4920 - 7380 gross / month
Lead Software Engineer & Team Lvhyubhjead (PHP);NFQ Technologies;Vilnius/Kaunas/ŠIauliai;€ 4920 - 7380 gross / month
Lead Software Engineer (.NET);NFQ Technologies;Vilnius/Kaunas;€ 4500 - 7500 (gross / month)
Lead Software Engineer (PHP);NFQ Technologies;Vilnius/Kaunas;€ 4500 - 7500 (gross / month)
Office Manager;NFQ Technologies;Kaunas;€ 1950 - 2880 gross / month
Project Manager (Internal);NFQ Technologies;Vilnius/Kaunas/ŠIauliai;€ 2400 - 4000 gross / month
Senior IT Project Manager;NFQ Technologies;Vilnius/Kaunas/ŠIauliai Or Remote Within Lithuania;€ 3760 - 6600 gross / month
Senior IT Project Manager;NFQ Technologies;Vilnius/Kaunas;€ 3760 - 6600 gross / month
Senior Software Engineer (.NET);NFQ Technologies;Vilnius/Kaunas;€ 4500 - 7500 (gross / month)
Senior Software Engineer (PHP);NFQ Technologies;Vilnius/Kaunas;€ 4500 - 7500 (gross / month)
Software Engineer (Java);NFQ Technologies;Vilnius/Kaunas;: € 2500 - 4640 gross / month
Software Engineer (PHP);NFQ Technologies;Vilnius/Kaunas/ŠIauliai;: € 2500 - 4640 gross / month
Junior Test Engineer, CI (m/f/d) - Tietoevry Create;Tietoevry;Poland: Szczecin;
Regular/Senior Software Engineer-C/Embedded - ORAN technology - L1 physical layer-Tietoevry Create (m/f/d);Tietoevry;Poland: Szczecin, Wroclaw;
Senior Software Engineer - Scala/Spark/Hadoop/Big Data- Tietoevry Create (m/f/d);Tietoevry;Poland: Warsaw;
Mobility Market Analyst, Tietoevry Create (m/f/d);Tietoevry;Bulgaria: Sofia;
Accountant (M/F/D);Tietoevry;Czech Republic: Ostrava;
Swedish Speaking IT Customer Support Specialist;Tietoevry;Latvia: Rīga;
Head of Solution Advisory, Financial Services - Tietoevry Tech Services;Tietoevry;Finland: Espoo;
